ensg	lof.pLI	lof.z_score	mis.z_score	syn.z_score
ENSG00000044090	1.20E-11	5.37E+00	2.91E+00	1.90E+00
ENSG00000112659	1.00E+00	1.03E+01	5.27E+00	2.29E+00
ENSG00000112514	1.14E-08	1.46E-01	2.04E-01	3.67E-01
ENSG00000119929	1.25E-05	7.28E-01	3.24E-01	1.18E-01
ENSG00000257923	1.00E+00	8.06E+00	3.12E+00	-5.39E-01
ENSG00000111249	1.00E+00	6.76E+00	2.16E+00	-1.10E-01
ENSG00000138161	1.14E-13	1.04E+00	1.01E+00	1.13E+00
ENSG00000150316	7.57E-01	2.33E+00	1.41E+00	-4.68E-01
ENSG00000163510	1.94E-07	2.07E+00	9.68E-01	4.75E-01
ENSG00000273559	7.57E-05	2.41E+00	1.17E+00	1.69E+00
ENSG00000153015	4.16E-06	8.05E-01	7.55E-01	6.41E-01
ENSG00000095485	6.18E-14	3.93E-01	7.37E-01	1.01E+00
ENSG00000152404	3.51E-11	1.24E+00	-6.40E-01	-1.11E-01
ENSG00000109182	8.65E-23	-4.07E-01	1.07E-01	-3.81E-02
ENSG00000006210	9.10E-01	2.41E+00	4.34E-01	-9.39E-01
ENSG00000168329	5.32E-01	1.17E+00	1.59E+00	8.14E-01
ENSG00000154639	4.19E-03	2.52E+00	2.06E+00	5.39E-01
ENSG00000163739	4.70E-03	9.45E-01	-2.63E-01	-1.32E+00
ENSG00000169245	1.01E-01	1.44E+00	1.87E-01	2.06E-01
ENSG00000169248	9.12E-02	1.40E+00	5.11E-01	3.49E-02
ENSG00000107562	1.98E-01	1.32E+00	-5.35E-01	-9.22E-01
ENSG00000156234	7.44E-01	1.75E+00	8.48E-01	8.09E-01
ENSG00000145824	2.10E-02	1.47E+00	8.35E-01	-3.19E-01
ENSG00000161921	6.24E-04	1.32E+00	5.17E-01	8.15E-01
ENSG00000189377	1.44E-01	1.39E+00	3.36E-01	4.84E-02
ENSG00000081041	5.46E-05	7.75E-03	1.47E-01	-1.19E+00
ENSG00000163734	8.58E-04	5.43E-01	-8.41E-01	-6.52E-01
ENSG00000163735	5.74E-04	3.81E-01	-3.64E-01	-7.13E-01
ENSG00000124875	9.59E-09	-1.49E+00	-5.10E-01	-5.42E-01
ENSG00000169429	3.72E-03	-1.36E-01	-8.12E-01	6.22E-02
ENSG00000138755	2.03E-02	7.69E-01	4.28E-01	2.49E-01
ENSG00000163464	3.95E-01	8.03E-01	6.14E-01	4.33E-01
ENSG00000180871	2.45E-01	1.21E+00	1.95E+00	-1.38E-01
ENSG00000121966	9.69E-01	3.01E+00	2.61E+00	1.08E+00
ENSG00000160683	1.79E-01	1.03E+00	2.83E+00	3.01E-01
ENSG00000172215	1.36E-02	5.79E-01	1.98E+00	-4.75E-02
ENSG00000154832	1.00E+00	5.69E+00	3.03E+00	-6.48E-01
ENSG00000168772	9.68E-01	2.71E+00	1.64E+00	-7.50E-01
ENSG00000171604	9.96E-01	3.10E+00	2.11E+00	1.07E+00
ENSG00000008283	2.07E-01	2.46E+00	9.32E-01	-4.92E-02
ENSG00000162144	4.63E-04	1.58E+00	2.10E+00	3.10E-01
ENSG00000174151	7.34E-05	8.60E-01	-2.52E-01	-9.46E-01
ENSG00000114395	5.77E-05	9.90E-01	7.63E-01	-9.53E-02
ENSG00000166347	3.80E-02	1.05E+00	3.33E-01	2.78E-03
ENSG00000103018	9.55E-03	1.20E+00	8.17E-01	-2.31E-01
ENSG00000182224	3.42E-12	-7.14E-01	9.50E-01	-7.15E-02
ENSG00000167740	6.28E-09	1.84E-01	1.14E-01	-4.00E-01
ENSG00000159348	7.55E-10	5.51E-01	9.16E-01	9.10E-02
ENSG00000166394	2.00E-14	-5.75E-01	-1.19E+00	-1.51E+00
ENSG00000100243	6.05E-08	1.11E+00	-1.01E+00	-8.54E-01
ENSG00000065615	4.64E-05	2.31E+00	8.24E-01	4.64E-01
ENSG00000215883	6.48E-13	-2.50E-02	3.92E-01	8.16E-01
ENSG00000051523	2.59E-10	-9.03E-01	-2.43E+00	-3.07E+00
ENSG00000178927	3.49E-09	-3.89E-01	-1.25E-01	-1.04E+00
ENSG00000071967	1.84E-03	1.63E+00	8.40E-01	-5.17E-02
ENSG00000179091	8.46E-01	2.93E+00	-6.07E-01	-1.60E+00
ENSG00000172115	9.77E-01	2.53E+00	1.38E+00	2.30E-01
ENSG00000273749	1.00E+00	6.73E+00	3.15E+00	4.22E-01
ENSG00000055163	1.00E+00	8.14E+00	6.94E+00	7.48E-01
ENSG00000161544	9.52E-04	1.26E+00	6.52E-01	3.93E-01
ENSG00000187954	6.03E-03	1.04E+00	2.19E+00	-1.24E+00
ENSG00000155833	1.42E-08	-4.46E-01	-1.63E+00	-5.89E-01
ENSG00000083799	1.00E+00	5.76E+00	4.71E+00	1.12E+00
ENSG00000140459	3.31E-04	3.11E+00	1.89E+00	1.06E+00
ENSG00000160882	2.96E-08	1.82E+00	-2.61E-01	-6.50E-01
ENSG00000179142	1.37E-10	1.38E+00	1.06E-02	-4.25E-01
ENSG00000148795	1.99E-07	5.32E-01	1.34E+00	6.17E-01
ENSG00000137869	1.61E-02	2.19E+00	1.21E+00	7.35E-01
ENSG00000140465	9.28E-18	-7.87E-01	6.85E-01	-2.50E-01
ENSG00000140505	9.30E-13	-1.09E-01	4.11E-01	1.77E-01
ENSG00000138061	1.51E-06	1.08E+00	-2.09E+00	-2.17E+00
ENSG00000119004	1.65E-11	-7.35E-01	1.74E-01	3.50E-02
ENSG00000231852	8.72E-06	1.82E+00	1.81E+00	2.06E+00
ENSG00000019186	1.23E-17	-8.92E-01	-1.13E+00	1.81E-01
ENSG00000095596	3.72E-10	-1.52E-01	-2.41E-01	-2.59E-02
ENSG00000003137	1.00E+00	4.20E+00	1.28E+00	-2.39E-01
ENSG00000187553	5.72E-20	-2.03E+00	-3.31E+00	-3.10E+00
ENSG00000135929	1.92E-15	1.18E+00	1.06E-01	6.88E-01
ENSG00000111012	9.31E-14	8.74E-01	2.55E-01	1.76E-01
ENSG00000186684	5.22E-08	1.67E+00	1.93E+00	3.82E-03
ENSG00000197838	2.09E-08	1.47E+00	-9.97E-01	-2.23E-01
ENSG00000255974	3.11E-06	2.00E+00	-4.56E-02	-8.19E-02
ENSG00000198077	1.84E-11	6.69E-01	-6.71E-01	-7.35E-01
ENSG00000197408	2.18E-10	1.20E+00	2.82E-01	1.02E-01
ENSG00000108242	3.42E-10	6.93E-01	-3.04E-01	-5.84E-01
ENSG00000165841	4.65E-22	-1.70E+00	-2.28E+00	-1.65E+00
ENSG00000138115	1.95E-21	-1.10E+00	-5.98E-01	-1.80E-02
ENSG00000138109	1.19E-20	-1.41E+00	-2.00E+00	-1.91E+00
ENSG00000100197	8.05E-23	-1.87E+00	-1.32E+00	-2.85E+00
ENSG00000205702	NA	NA	-3.79E-01	1.99E-01
ENSG00000130649	1.26E-07	1.85E+00	1.41E+00	6.02E-01
ENSG00000197446	1.84E-10	7.11E-01	9.19E-01	1.03E+00
ENSG00000134716	4.56E-12	1.10E+00	7.55E-02	6.69E-01
ENSG00000186104	2.52E-12	8.38E-01	3.92E-01	-8.30E-02
ENSG00000167600	1.02E-08	1.45E+00	1.33E+00	4.12E-01
ENSG00000155016	4.95E-08	1.52E+00	1.32E-01	-1.55E+00
ENSG00000073067	1.97E-23	-2.37E+00	-2.29E+00	-3.19E+00
ENSG00000146233	1.76E-07	1.04E+00	4.88E-01	-6.76E-01
ENSG00000160868	1.82E-06	2.39E+00	1.76E+00	1.35E+00
ENSG00000021461	7.75E-11	1.66E+00	5.91E-01	7.85E-01
ENSG00000106258	8.16E-11	1.27E+00	1.32E+00	1.05E+00
ENSG00000160870	2.95E-13	1.22E+00	1.17E+00	1.29E+00
ENSG00000282301	9.65E-12	1.51E+00	1.16E+00	1.36E+00
ENSG00000036530	9.77E-01	4.16E+00	2.87E+00	-3.10E-01
ENSG00000187048	2.94E-16	7.26E-01	1.23E-01	8.07E-01
ENSG00000162365	1.10E-13	1.04E+00	1.39E+00	1.91E+00
ENSG00000142973	9.92E-13	1.33E+00	3.56E-01	4.18E-01
ENSG00000171903	2.64E-31	-1.45E+00	-9.01E-01	-3.70E-01
ENSG00000186204	2.82E-22	-3.52E-01	-8.05E-02	4.20E-01
ENSG00000186115	1.78E-19	2.51E-01	1.09E+00	-8.52E-01
ENSG00000171954	5.79E-07	2.82E+00	1.24E+00	1.11E+00
ENSG00000186529	1.79E-16	6.42E-01	-2.21E-01	9.19E-01
ENSG00000186526	4.99E-20	6.29E-02	3.93E-01	-2.30E-01
ENSG00000145476	5.11E-17	6.73E-01	-1.33E-01	-2.71E-01
ENSG00000186377	5.66E-11	1.96E+00	1.82E+00	5.51E-01
ENSG00000186160	2.08E-09	1.25E+00	1.16E+00	1.30E+00
ENSG00000001630	1.81E-10	7.08E-01	1.99E+00	1.38E+00
ENSG00000167910	4.03E-05	2.28E+00	8.32E-02	2.29E-01
ENSG00000172817	2.45E-06	1.95E+00	-5.44E-01	-6.80E-01
ENSG00000180432	8.82E-02	6.95E-02	5.80E-01	8.55E-01
ENSG00000122783	1.18E-02	8.07E-01	-2.36E-01	3.24E-01
ENSG00000197872	5.90E-01	2.96E+00	2.67E+00	9.45E-01
ENSG00000153310	9.97E-01	3.33E+00	2.76E+00	-2.60E-01
ENSG00000205795	7.21E-03	-2.07E-01	-2.29E+00	-1.60E+00
ENSG00000152207	4.53E-01	9.77E-01	5.68E-01	-4.92E-01
ENSG00000197191	9.03E-04	-5.45E-01	1.39E-01	2.58E-01
ENSG00000120306	7.92E-01	2.25E+00	1.03E+00	7.38E-01
ENSG00000108669	1.00E+00	4.81E+00	3.00E+00	7.07E-01
ENSG00000105443	1.28E-01	3.67E+00	2.75E+00	-4.20E-02
ENSG00000008256	8.26E-01	3.65E+00	1.74E+00	-2.06E+00
ENSG00000100055	9.43E-01	4.16E+00	2.18E+00	1.16E+00
ENSG00000115165	6.36E-06	1.89E+00	4.28E-01	2.51E-01
ENSG00000170891	6.31E-08	-7.62E-01	-1.40E+00	-1.38E+00
ENSG00000166265	1.86E-04	2.10E-01	-9.51E-02	-5.95E-02
ENSG00000162384	9.33E-09	4.71E-01	7.16E-01	-1.93E-01
ENSG00000180902	4.62E-07	1.86E+00	5.26E-01	-6.63E-01
ENSG00000100592	5.39E-01	5.61E+00	1.94E+00	1.41E-01
ENSG00000146122	9.77E-01	5.27E+00	8.74E-01	4.77E-01
ENSG00000173406	1.00E+00	4.38E+00	1.69E+00	8.07E-01
ENSG00000153071	9.93E-01	4.28E+00	1.41E+00	4.24E-01
ENSG00000136848	1.00E+00	5.79E+00	1.52E+00	-2.04E+00
ENSG00000276644	1.00E+00	4.60E+00	1.13E+00	-1.19E+00
ENSG00000165617	1.66E-01	2.52E+00	-7.81E-01	-1.55E+00
ENSG00000164488	4.67E-05	2.33E-01	-1.00E-01	2.16E-01
ENSG00000197380	6.51E-01	2.18E+00	-3.19E+00	-4.43E+00
ENSG00000129562	2.90E-01	1.52E+00	8.50E-01	5.16E-01
ENSG00000173402	1.00E+00	4.93E+00	2.56E+00	2.82E-01
ENSG00000134780	1.00E+00	6.76E+00	5.19E+00	1.43E+00
ENSG00000164535	6.30E-21	6.25E-01	-1.84E+00	-1.20E+00
ENSG00000178149	1.00E-14	7.22E-01	-1.68E+00	-2.13E+00
ENSG00000179284	1.02E-03	3.26E-01	2.00E-01	4.97E-01
ENSG00000110887	7.87E-15	2.85E-01	3.94E-01	6.97E-01
ENSG00000182346	2.18E-05	2.18E-01	-1.24E+00	-8.75E-01
ENSG00000112977	6.22E-03	8.06E-01	5.47E-01	2.30E-01
ENSG00000132676	8.18E-04	2.97E+00	7.56E-01	4.35E-01
ENSG00000196730	1.00E+00	6.03E+00	4.00E+00	1.46E+00
ENSG00000035664	3.40E-10	1.15E+00	6.58E-01	5.52E-01
ENSG00000167657	7.57E-05	8.70E-01	-4.59E-01	-2.57E+00
ENSG00000163331	8.42E-03	-9.62E-02	-1.13E+00	-5.14E-01
ENSG00000070190	5.12E-03	1.74E+00	1.45E+00	-4.96E-03
ENSG00000115866	4.06E-06	1.33E+00	9.43E-01	2.50E-01
ENSG00000117593	8.07E-13	1.90E+00	1.42E+00	1.04E+00
ENSG00000123977	7.08E-12	7.63E-01	1.65E-01	-2.58E-01
ENSG00000204209	8.91E-01	4.21E+00	1.85E+00	8.66E-01
ENSG00000071626	1.00E+00	5.28E+00	3.02E+00	-3.49E-01
ENSG00000183283	9.83E-01	2.87E+00	1.28E+00	6.76E-01
ENSG00000092345	1.00E+00	3.95E+00	6.82E-01	-1.01E+00
ENSG00000006634	9.95E-01	4.39E+00	1.59E+00	1.33E+00
ENSG00000161692	7.92E-11	1.40E+00	1.60E+00	1.46E+00
ENSG00000123454	9.47E-13	1.81E+00	3.56E-01	5.19E-01
ENSG00000155368	9.00E-04	-8.16E-02	2.94E-01	1.31E-01
ENSG00000113758	1.00E+00	5.47E+00	2.42E-01	-4.32E-01
ENSG00000003249	1.13E-04	2.96E-01	-6.40E-01	-6.74E-01
ENSG00000244274	2.21E-02	1.29E+00	2.57E-01	-5.12E-01
ENSG00000136279	8.16E-07	2.68E+00	1.25E+00	6.17E-01
ENSG00000105516	1.09E-03	1.30E+00	-1.03E+00	-1.85E+00
ENSG00000138231	6.96E-05	2.15E+00	1.14E+00	5.14E-01
ENSG00000137992	3.65E-09	4.15E-01	1.32E+00	4.58E-01
ENSG00000109851	3.85E-03	1.49E+00	-6.99E-01	-1.25E+00
ENSG00000185610	1.42E-06	-2.25E-01	-2.82E+00	-3.73E+00
ENSG00000145041	1.00E+00	8.05E+00	6.38E+00	1.01E+00
ENSG00000122741	6.22E-02	2.97E+00	2.26E+00	-9.02E-01
ENSG00000100897	5.37E-08	3.29E+00	1.86E+00	3.91E-01
ENSG00000198876	4.93E-04	3.08E+00	2.27E+00	1.11E+00
ENSG00000164934	5.82E-05	2.11E+00	1.56E+00	4.74E-01
ENSG00000132017	9.69E-01	4.47E+00	2.49E+00	-1.18E+00
ENSG00000163257	6.63E-03	1.48E+00	2.72E-01	-6.68E-01
ENSG00000115827	3.48E-07	2.18E+00	9.24E-01	1.43E-01
ENSG00000119599	8.87E-08	2.71E+00	1.40E+00	7.92E-01
ENSG00000182308	1.00E+00	4.12E+00	3.22E+00	-9.35E-01
ENSG00000176566	6.88E-07	1.05E+00	3.41E-01	-1.15E+00
ENSG00000139990	1.00E+00	6.84E+00	4.29E+00	1.39E+00
ENSG00000143164	5.79E-02	4.39E+00	1.90E+00	5.72E-01
ENSG00000136485	1.00E+00	4.74E+00	5.61E+00	1.21E+00
ENSG00000132716	9.97E-01	4.47E+00	4.33E+00	1.82E+00
ENSG00000172992	4.34E-05	9.03E-01	6.89E-01	4.54E-01
ENSG00000251380	1.03E-01	-2.05E+00	-4.16E-01	-4.17E-01
ENSG00000164465	4.00E-13	1.77E+00	3.85E-01	-3.58E-01
ENSG00000057019	3.70E-11	2.74E+00	5.00E-01	-5.92E-01
ENSG00000187323	1.00E+00	6.77E+00	9.76E-01	-6.72E-01
ENSG00000161634	4.63E-08	-8.74E-01	-2.21E-01	-7.68E-01
ENSG00000170959	5.58E-41	5.55E-01	-3.93E-01	-1.21E-01
ENSG00000146038	1.18E-09	1.12E+00	5.84E-01	-2.93E-01
ENSG00000222046	1.02E-15	-3.68E-01	-2.84E-01	-1.69E-01
ENSG00000214866	1.45E-17	-8.61E-01	-5.76E-01	-1.49E+00
ENSG00000166341	3.34E-01	6.96E+00	1.57E+00	-5.03E-01
ENSG00000197410	2.19E-36	2.36E+00	2.97E-01	-2.01E-01
ENSG00000156136	4.33E-03	1.34E+00	5.83E-01	-9.93E-02
ENSG00000133083	1.00E+00	5.85E+00	4.30E+00	3.02E-01
ENSG00000170390	8.45E-01	4.37E+00	1.12E+00	-1.06E+00
ENSG00000163673	1.03E-07	1.67E+00	7.00E-01	-1.63E+00
ENSG00000198924	1.95E-15	2.48E+00	1.37E+00	1.01E+00
ENSG00000118655	9.43E-01	2.86E+00	9.62E-01	4.64E-01
ENSG00000152457	8.18E-08	2.14E+00	5.78E-02	-1.09E+00
ENSG00000011465	1.41E-01	2.07E+00	7.91E-01	9.15E-02
ENSG00000272886	9.99E-01	4.10E+00	1.23E+00	1.65E-01
ENSG00000151065	1.74E-11	1.75E+00	8.68E-01	8.48E-01
ENSG00000172795	6.81E-06	2.52E+00	-2.65E-01	-1.26E+00
ENSG00000110063	2.27E-07	1.42E+00	-1.16E-01	4.44E-01
ENSG00000163357	6.06E-23	1.18E+00	5.56E-01	3.68E-01
ENSG00000163354	5.52E-17	1.83E+00	1.06E+00	1.73E+00
ENSG00000164935	7.99E-07	1.41E+00	8.23E-01	-6.30E-01
ENSG00000080166	1.84E-13	8.72E-01	-1.01E-03	1.50E-01
ENSG00000129187	2.12E-07	-1.33E+00	3.00E-01	9.11E-01
ENSG00000204843	1.00E+00	7.02E+00	2.50E+00	1.31E-01
ENSG00000175203	8.70E-01	3.79E+00	1.44E+00	3.43E-01
ENSG00000137100	5.21E-08	7.31E-01	2.73E-01	7.21E-01
ENSG00000132912	8.71E-01	3.54E+00	1.27E+00	4.94E-01
ENSG00000166847	2.71E-02	1.73E+00	1.77E+00	1.03E+00
ENSG00000104671	9.12E-01	2.42E+00	9.24E-01	1.18E+00
ENSG00000179958	1.15E-04	3.02E-01	1.51E-01	5.82E-01
ENSG00000043093	9.42E-01	2.43E+00	2.42E+00	7.08E-01
ENSG00000150401	6.07E-08	2.01E-01	1.07E-01	-1.51E-01
ENSG00000188215	9.92E-01	3.30E+00	2.50E+00	1.38E+00
ENSG00000109184	1.14E-02	2.24E+00	8.94E-01	-5.11E-01
ENSG00000137692	9.87E-01	2.94E+00	2.19E+00	-3.51E-01
ENSG00000169738	3.63E-10	2.99E-02	-5.05E-01	-1.21E+00
ENSG00000130311	9.84E-01	2.88E+00	7.02E-01	-1.63E-01
ENSG00000153904	4.63E-04	1.03E+00	-2.61E-01	-1.11E+00
ENSG00000213722	9.24E-01	3.00E+00	2.21E+00	1.16E+00
ENSG00000167986	1.00E+00	8.60E+00	6.46E+00	-1.26E-01
ENSG00000134574	1.46E-04	2.97E+00	2.29E+00	1.49E+00
ENSG00000132437	7.79E-10	1.86E+00	1.09E+00	4.66E-01
ENSG00000100523	4.51E-05	3.92E+00	7.17E-01	7.49E-02
ENSG00000085788	1.28E-06	2.86E+00	1.74E+00	9.01E-01
ENSG00000170967	4.79E-05	4.96E-01	6.92E-01	-2.36E-01
ENSG00000197312	1.00E+00	5.19E+00	3.75E+00	-5.31E-01
ENSG00000165490	9.75E-02	1.22E+00	1.58E+00	1.57E+00
ENSG00000175197	1.49E-04	8.74E-01	-1.71E-01	-7.84E-01
ENSG00000168209	1.10E-07	-6.00E-02	-6.06E-02	8.34E-02
ENSG00000145358	1.71E-04	6.98E-01	2.91E-02	4.50E-01
ENSG00000181418	4.36E-02	1.10E+00	-2.87E-02	-6.84E-01
ENSG00000203797	3.21E-06	5.25E-01	1.89E-01	-1.88E-01
ENSG00000244038	7.80E-04	2.64E+00	6.59E-01	-1.21E+00
ENSG00000204580	1.63E-13	2.86E+00	2.75E+00	1.08E+00
ENSG00000162733	1.00E+00	6.15E+00	3.83E+00	4.57E-01
ENSG00000198171	1.23E-12	4.07E-01	-1.34E-01	-5.26E-01
ENSG00000099977	9.90E-03	-6.31E-01	-5.73E-02	-6.47E-02
ENSG00000099974	2.02E-01	3.58E-01	-1.10E-01	-4.18E-01
ENSG00000079785	1.00E+00	4.58E+00	1.28E+00	-2.15E-01
ENSG00000178105	9.28E-15	2.43E+00	1.35E+00	6.80E-01
ENSG00000013573	4.47E-15	3.22E+00	2.29E+00	1.71E+00
ENSG00000100201	1.00E+00	5.92E+00	4.37E+00	-4.15E-03
ENSG00000088205	9.80E-01	4.46E+00	7.35E-01	4.67E-01
ENSG00000168872	1.00E+00	4.58E+00	4.20E+00	1.84E-01
ENSG00000157349	3.51E-02	3.35E+00	3.17E+00	1.10E+00
ENSG00000064703	5.09E-16	1.65E+00	4.92E-01	3.08E-02
ENSG00000165732	1.00E+00	6.40E+00	3.63E+00	1.22E+00
ENSG00000174243	1.00E+00	6.07E+00	6.31E+00	1.25E+00
ENSG00000089737	8.66E-01	4.46E+00	1.11E+00	2.95E-01
ENSG00000109832	1.64E-26	-7.06E-01	3.98E-01	1.87E-01
ENSG00000124228	2.87E-01	5.08E+00	2.41E+00	1.14E+00
ENSG00000182810	7.45E-09	4.14E-01	-1.17E+00	-1.71E+00
ENSG00000125485	2.81E-17	2.14E+00	6.59E-01	5.08E-02
ENSG00000123136	9.98E-01	4.07E+00	3.56E+00	-2.01E-01
ENSG00000198563	1.00E+00	5.26E+00	5.96E+00	1.31E+00
ENSG00000152670	1.00E+00	4.93E+00	2.97E+00	5.65E-01
ENSG00000183258	8.21E-10	3.02E+00	3.15E+00	-1.16E+00
ENSG00000198231	1.00E+00	6.79E+00	4.20E+00	5.63E-01
ENSG00000080007	3.02E-06	2.59E+00	1.55E+00	-3.76E-01
ENSG00000145833	1.00E+00	7.54E+00	6.77E+00	4.75E-02
ENSG00000213782	1.16E-14	-5.95E-02	9.49E-01	6.19E-01
ENSG00000105671	1.33E-16	3.49E-01	2.30E-01	-2.04E-01
ENSG00000108654	1.00E+00	6.32E+00	3.77E+00	-3.01E+00
ENSG00000107625	2.27E-11	3.03E+00	2.12E+00	1.15E+00
ENSG00000185163	2.99E-26	-2.93E-01	-2.93E+00	-5.35E+00
ENSG00000278053	5.64E-12	2.12E+00	3.49E-01	8.49E-01
ENSG00000123064	4.81E-15	2.80E+00	3.31E-02	-2.75E-01
ENSG00000111364	6.85E-16	1.35E+00	6.09E-01	3.96E-01
ENSG00000136271	3.44E-11	1.99E+00	-1.61E-02	1.27E-01
ENSG00000107201	3.66E-20	1.52E+00	1.63E+00	1.14E+00
ENSG00000118197	2.80E-08	2.18E+00	1.23E+00	2.23E-01
ENSG00000110367	1.00E+00	5.02E+00	4.28E+00	3.25E-01
ENSG00000137628	4.93E-27	2.79E+00	1.06E+00	2.49E-02
ENSG00000181381	1.12E-35	1.07E+00	-2.32E-02	2.69E-01
ENSG00000177030	1.69E-18	3.64E-01	8.30E-01	-1.80E+00
ENSG00000104325	1.14E-14	-8.71E-01	-2.69E-01	-3.61E-01
ENSG00000242612	8.60E-15	-1.34E+00	-1.63E+00	-2.14E+00
ENSG00000158796	1.00E+00	4.21E+00	3.13E+00	7.95E-01
ENSG00000160570	1.67E-05	1.01E+00	5.16E-01	-7.79E-01
ENSG00000023892	6.31E-03	3.92E+00	2.84E+00	7.36E-01
ENSG00000140995	1.18E-09	1.81E+00	5.64E-01	-8.40E-01
ENSG00000239839	7.77E-01	1.70E+00	1.55E+00	1.16E+00
ENSG00000164821	4.44E-05	-1.45E+00	-2.66E+00	-2.24E+00
ENSG00000164816	6.00E-05	-6.84E-01	-1.79E+00	-5.20E-01
ENSG00000164822	4.72E-03	-5.41E-01	-2.02E+00	-2.15E+00
ENSG00000164825	2.24E-05	-2.03E+00	-3.29E+00	-2.55E+00
ENSG00000176782	NA	NA	1.38E-01	NA
ENSG00000186562	4.71E-01	1.03E+00	1.01E+00	7.11E-01
ENSG00000184276	1.91E-01	2.84E-01	-7.41E-01	1.03E-02
ENSG00000203970	1.36E-04	-1.30E+00	-8.80E-01	-7.70E-01
ENSG00000180872	8.42E-04	-1.35E+00	-7.41E-01	-6.68E-01
ENSG00000214642	4.76E-03	-1.67E+00	-1.03E+00	-1.11E+00
ENSG00000177684	1.97E-01	3.20E-01	-8.76E-01	-6.48E-01
ENSG00000215547	5.96E-03	5.02E-01	-1.44E+00	-2.00E+00
ENSG00000215545	4.78E-03	-5.30E-01	-1.47E+00	-1.03E+00
ENSG00000131068	3.98E-02	-3.49E-02	-1.91E-01	-4.47E-01
ENSG00000180483	1.12E-02	9.23E-02	-2.28E-01	5.86E-01
ENSG00000204548	8.22E-04	-1.37E+00	7.33E-02	-4.98E-01
ENSG00000180424	3.15E-02	3.13E-01	2.86E-01	7.75E-01
ENSG00000180383	7.32E-01	1.60E+00	3.86E-01	4.77E-02
ENSG00000178591	3.39E-01	9.13E-01	2.22E-01	2.20E-01
ENSG00000125788	2.70E-01	6.89E-01	2.60E-01	-2.19E-01
ENSG00000088782	1.47E-01	5.49E-01	2.89E-01	4.24E-01
ENSG00000185982	3.12E-01	8.33E-01	-6.30E-01	-1.49E+00
ENSG00000125903	2.21E-01	8.68E-01	1.25E+00	1.72E-01
ENSG00000186146	2.89E-02	-3.55E-01	-1.54E+00	-7.59E-01
ENSG00000225805	5.37E-02	2.20E-01	7.92E-02	1.65E-02
ENSG00000186458	2.73E-03	-1.08E+00	-8.30E-02	-2.96E-01
ENSG00000205882	3.00E-03	1.64E-01	-1.08E+00	-6.66E-01
ENSG00000205883	2.62E-07	-1.70E+00	-1.83E+00	-1.85E+00
ENSG00000205884	1.86E-04	-1.95E+00	-8.91E-01	-1.01E+00
ENSG00000171711	3.32E-01	5.37E-01	1.15E+00	9.67E-01
ENSG00000143753	3.81E-05	1.24E+00	7.95E-01	1.82E-01
ENSG00000168350	6.41E-05	1.02E+00	1.03E+00	4.68E-02
ENSG00000124795	2.76E-03	2.43E+00	4.24E-01	-6.49E-01
ENSG00000081791	9.44E-17	4.15E-01	3.26E-01	-1.54E-01
ENSG00000119979	7.52E-04	1.18E+00	1.54E+00	7.94E-01
ENSG00000257093	6.11E-09	1.19E+00	1.32E+00	-7.86E-01
ENSG00000119522	1.99E-04	4.62E+00	9.57E-01	-1.85E-01
ENSG00000213047	5.77E-06	2.49E+00	1.11E+00	3.00E-01
ENSG00000205744	1.63E-18	1.26E+00	-6.29E-02	3.15E-01
ENSG00000146966	4.04E-06	4.27E+00	1.86E+00	5.58E-02
ENSG00000166444	1.00E+00	6.57E+00	2.32E+00	3.37E-01
ENSG00000175984	1.79E-11	3.42E+00	1.72E+00	1.79E+00
ENSG00000162777	2.62E-07	2.69E+00	1.23E+00	2.15E-02
ENSG00000105339	1.60E-16	3.02E+00	2.71E+00	6.14E-01
ENSG00000174485	1.00E+00	6.78E+00	3.99E+00	1.56E+00
ENSG00000198837	5.41E-03	6.02E+00	4.03E+00	1.10E+00
ENSG00000137145	1.95E-09	5.75E+00	-7.37E-01	-1.12E+00
ENSG00000184014	2.37E-04	5.02E+00	3.20E+00	4.14E-01
ENSG00000170456	1.00E+00	7.08E+00	3.66E+00	2.20E-01
ENSG00000174839	4.24E-05	3.15E+00	1.63E+00	-7.48E-01
ENSG00000205593	3.33E-25	1.99E-02	-5.97E-01	-2.57E+00
ENSG00000139726	9.17E-01	2.43E+00	1.61E+00	-5.52E-01
ENSG00000024526	2.60E-11	1.82E+00	1.63E+00	1.71E+00
ENSG00000035499	7.32E-11	1.65E+00	1.29E+00	2.51E-01
ENSG00000166153	2.10E-14	-4.01E-01	1.16E-02	-3.07E-01
ENSG00000100150	1.00E+00	8.06E+00	3.74E+00	1.13E+00
ENSG00000121690	3.26E-09	1.49E+00	1.19E+00	6.68E-01
ENSG00000165507	3.82E-01	7.57E-01	4.75E-01	-3.04E-02
ENSG00000155792	2.83E-13	2.61E-01	5.96E-01	2.50E-01
ENSG00000023697	3.41E-01	2.74E+00	-1.60E-01	-7.16E-01
ENSG00000136986	9.06E-03	2.57E+00	1.26E+00	-9.92E-02
ENSG00000072849	3.33E-01	1.94E+00	1.34E+00	-4.35E-01
ENSG00000099958	3.42E-08	3.90E-02	-8.73E-01	-1.11E+00
ENSG00000286140	3.41E-01	5.85E-01	-2.22E-01	2.99E-01
ENSG00000175084	2.40E-06	2.44E+00	3.71E-01	-5.36E-01
ENSG00000100418	3.45E-05	1.03E+00	9.98E-01	-2.57E-01
