gene	s_het
PHF20L1	0.0875036
MIER1	0.0874901
ZC3H8	0.0874775
PELO	0.0873248
DHH	0.0873073
LMNB1	0.087293
TAOK2	0.0872729
FBXO5	0.0871144
ATF2	0.0870667
PSMD14	0.0870424
CHST14	0.0870307
PPP4R1	0.0869682
ZNF750	0.0868586
MAGEA11	0.0867744
TSGA10	0.0867719
POGK	0.0867413
FGF14	0.0867316
MCMBP	0.0866544
MET	0.0865888
GPR12	0.0864635
TAGLN3	0.0864629
SHE	0.0864211
RPL10A	0.0864
ZEB1	0.0863397
SLC17A6	0.0862762
CYLD	0.0862613
PRMT5	0.0862314
EBAG9	0.0862031
AGFG1	0.0861842
TRIM13	0.0861158
TCF7L2	0.0860535
DMRT1	0.0860194
FASLG	0.0859779
CASK	0.085975
LGR4	0.085947
BRSK1	0.0859385
DCP2	0.0858551
RILPL2	0.0857907
NLGN1	0.0857698
NKAIN1	0.0856899
RAB12	0.0856339
UBA3	0.0856248
SLC6A17	0.0856099
TCF4	0.0855993
DACH2	0.0855508
TICAM1	0.0855205
ZNF148	0.0855046
ITSN1	0.0853937
TBC1D25	0.0853778
PSMB1	0.0852899
KCNK1	0.0852655
HS3ST4	0.0851579
CCDC12	0.0851511
SDHD	0.0851197
NR1D1	0.0850868
GNMT	0.0850505
ATXN7L3	0.0850386
FAM60A	0.0850368
BMPR2	0.0850234
AKAP14	0.0849904
THBS1	0.0849015
WASL	0.0848396
SLC9A7	0.0848033
MED12L	0.0848029
RBMX2	0.0847938
NPY5R	0.0847793
SMNDC1	0.0847135
TTC36	0.084683
PIK3R1	0.084675
SUPT6H	0.0846688
SF3A1	0.0846378
DUSP8	0.0846232
RNF31	0.0846011
FRY	0.084511
ELAC1	0.0844988
CDK4	0.0844871
TGFBR1	0.0844326
FRMD4A	0.0844285
UBXN4	0.0843468
NYAP2	0.0843367
KCNJ15	0.0842828
NXF1	0.0842746
CDCA4	0.0842527
ZHX1	0.0842007
USP42	0.0841801
RNF185	0.0841649
SMEK1	0.0841456
AES	0.0840914
HES1	0.0840238
C1orf74	0.0839588
PGAM1	0.083836
TET1	0.0837965
YWHAH	0.0837856
RC3H1	0.0837207
CLOCK	0.0837138
GATSL3	0.0836663
ROCK1	0.083656
LGALSL	0.0836394
FMNL2	0.0836128
MARCH3	0.0835818
CELSR2	0.0835661
SFN	0.0835219
CACNA1C	0.083517
RHOV	0.0834873
PSIP1	0.0834633
UBIAD1	0.0834339
TESC	0.0834266
GPR26	0.0833926
SPATA13	0.0833266
PRRC2A	0.0832259
TCF12	0.0831806
TAGLN	0.0831787
KCNMA1	0.0831383
MAP1S	0.0830523
ITM2B	0.0830358
NXPH1	0.0830246
KDM5A	0.0829793
RAB1B	0.0829311
STK38L	0.082915
APOA1	0.0829115
PAK4	0.0828691
DIO2	0.0828466
SUV39H2	0.0827624
RPP25L	0.0827562
HLA-DMA	0.0827248
FGF21	0.0827178
GLG1	0.0825424
PRR16	0.0825283
NRXN2	0.082502
HOXB3	0.0824781
ASXL2	0.0824734
SURF4	0.0824482
VASH1	0.0824383
NCOA3	0.0824365
INHBA	0.082334
BANP	0.0823311
SRCAP	0.0823094
NCOR2	0.0822105
UBN1	0.0821478
BATF3	0.0820886
ARMCX5	0.0820591
RABL6	0.0819922
EYA1	0.0819149
FRMD7	0.0818617
SLITRK5	0.0818588
ZC3H12A	0.0818517
ADAMTS6	0.0818517
SF3A2	0.0818364
TNFRSF14	0.0817858
VAX2	0.0817661
MOB4	0.081757
PTK2	0.0817379
FAT3	0.081692
ERP44	0.0816543
GMFB	0.0816476
UBR2	0.0816137
TRIP13	0.0815502
RASSF8	0.0815164
ATG9A	0.081515
CKAP5	0.081481
LAMTOR3	0.0814712
C12orf5	0.0814633
GTF3C1	0.0813958
ASAP1	0.0813871
RXRG	0.0813695
VPS37B	0.0813663
DSG1	0.0813645
DNAJC6	0.0813641
LRP12	0.0812849
RGS7	0.0812507
OTX1	0.0811549
CAMSAP1	0.0811455
ZNF326	0.0810798
CHD9	0.0810634
WNT6	0.081003
SLC38A2	0.0809556
CLCN7	0.0809312
PHF6	0.0808957
TLR8	0.0808197
LMTK2	0.0807673
LAPTM5	0.0807356
CHD4	0.0807065
CNOT4	0.0806712
SLC38A1	0.0805796
SLC18A2	0.0805597
PI4KB	0.0805337
ZNF496	0.080509
CRMP1	0.0805085
NCBP2	0.0804841
ZCCHC12	0.0804565
JTB	0.0804446
SLC3A2	0.0804363
TRPC4AP	0.0804334
STK24	0.0804332
LAS1L	0.0803885
SEC11C	0.0803814
MYH10	0.0803662
FAM171A1	0.0803501
BEND3	0.0803018
CYLC1	0.0802756
FAM65B	0.0802442
NDFIP1	0.0801878
PHIP	0.0801396
EPAS1	0.0800806
RGS10	0.0800055
CAAP1	0.0800005
COL27A1	0.0799929
CFH	0.0799554
ZNF384	0.0797223
PHACTR3	0.0796739
DDI2	0.0796674
BLNK	0.0796465
KLHL4	0.0796401
ATP6V1B2	0.0795899
FERD3L	0.0795782
FAM104A	0.0795592
ZNF740	0.0795575
XAB2	0.079484
RP11-302B13.5	0.0794827
LRRTM3	0.0794447
RAB11B	0.0794202
LONRF1	0.079399
ANO8	0.079389
PITPNA	0.0793658
HNRNPDL	0.079323
ARHGAP26	0.0792087
FMNL1	0.0792033
DDIT3	0.0790487
ADRB2	0.0789778
HOXD8	0.0789727
CBX6	0.0789276
KPNA2	0.0789156
GTF2I	0.0788635
DHDDS	0.0788471
MAP1A	0.0787109
HGF	0.0786583
BTRC	0.0786443
ZC3H6	0.0786144
GABRB2	0.0785211
NR2C1	0.0784392
PRLR	0.0783825
ERBB4	0.0783671
NR3C2	0.078366
ONECUT1	0.0783592
COMMD9	0.0783524
DYNC1LI2	0.0783053
CYB561	0.0782369
HERPUD2	0.078234
OXSR1	0.0781045
ARRDC3	0.0780741
PCDHGC4	0.0780531
FOXM1	0.0780261
GLCCI1	0.077905
SETBP1	0.0778803
SLITRK2	0.0778406
GSPT1	0.0778257
UVRAG	0.0778193
PRKCH	0.0778112
CDX2	0.0777748
SSBP2	0.0777638
NDN	0.0775834
RHOU	0.0775223
POU4F2	0.0775083
SPRYD3	0.0774869
SETD2	0.0774209
DAPK1	0.077417
MAP3K1	0.0774089
RPL37	0.0773522
CAMTA2	0.0773508
TNIP1	0.0772691
DACT1	0.0772638
ATL2	0.0772463
FAM193B	0.0772446
ZNF275	0.0772175
VMP1	0.0772
AQR	0.0771628
SPAST	0.0771111
HNF4A	0.0771007
PTPRA	0.0769763
PTPLAD1	0.0769697
PSENEN	0.076951
CNTN4	0.0769415
PSAP	0.076907
SMURF1	0.0768711
ATP6AP2	0.0768607
SQLE	0.0768533
UBE2E3	0.0768403
CADM2	0.0768332
SRRT	0.0768257
TRNAU1AP	0.0768207
SEC24B	0.0767939
UNC5A	0.0767314
FBXO31	0.0767131
HMBS	0.0767048
CAD	0.0766957
EHBP1	0.0766957
SGMS1	0.0766527
MYOCD	0.0766346
LCP2	0.0766315
ASIC4	0.0766282
S1PR1	0.0766083
BABAM1	0.0764831
DENND1B	0.0764394
IQSEC3	0.0764373
KCTD11	0.076398
GBX2	0.0763962
ABI2	0.0763415
SOGA1	0.0763404
PRPF38B	0.0763292
HELLS	0.0763019
RAPGEF6	0.0762736
WSB1	0.0762594
OSCAR	0.0762407
RBM24	0.076225
GRHL1	0.0762208
PHF21B	0.0761852
RCAN2	0.0761695
STAT4	0.0761282
PXMP4	0.0760659
DMRTB1	0.0760592
APLNR	0.0760562
CLP1	0.0760465
FBN2	0.0760405
PCDHAC2	0.0759714
SDC2	0.0759424
PCNX	0.0759205
GRK5	0.0759187
DMTN	0.075824
IQGAP1	0.0757702
LRRC73	0.0756476
PKNOX2	0.0756468
STRAP	0.0756414
TMEM131	0.0756412
TRADD	0.0756397
CTNND1	0.0756392
SLC39A1	0.0756329
MAP3K4	0.0756282
GPSM3	0.075592
GCN1L1	0.0755739
BUB3	0.0755568
PBX2	0.0754991
CDC42	0.0754743
SUGP2	0.0754504
HSPA5	0.0754394
DPP8	0.0754146
ADARB1	0.075399
ASTN1	0.0753949
DMXL2	0.0753919
QPRT	0.0753569
ST7	0.0753428
MAMLD1	0.0753133
TMEM123	0.0752914
ALG13	0.0752754
GPR101	0.0752676
FRS3	0.075237
NIP7	0.0751767
CNOT6L	0.0751636
ERC2	0.0751411
CBX3	0.0750907
VCAN	0.0750565
SDC3	0.0750366
MAP7D2	0.0750278
TIMP2	0.0750082
NAP1L3	0.0749805
NFATC1	0.0749571
USP5	0.0748823
TASP1	0.0748743
ARF3	0.0748323
FBXO3	0.0748206
EIF3D	0.0748163
MTMR4	0.0747937
HSPH1	0.0747803
S1PR4	0.0747016
TPST2	0.0746962
DCHS1	0.0746668
VPS4A	0.0746415
LPCAT4	0.0745856
MLLT4	0.07444
C19orf43	0.074429
ATP8B2	0.0743708
GRIK2	0.0743027
NAA60	0.0742762
ANKFY1	0.0742559
FAM214A	0.0742186
TNFRSF11A	0.074189
ZNF287	0.0741783
LCP1	0.0741012
ZNF638	0.074093
IRF9	0.0740413
PRKCQ	0.0739666
OSR2	0.0738926
WDR45B	0.0738874
MIS12	0.0738861
TBC1D22A	0.0738667
GPR50	0.0738285
CDSN	0.07379
MAGEB6	0.0737695
IKBKB	0.0737542
EIF5	0.0737454
TBK1	0.0737392
SLC35D3	0.0736805
ALDH1A3	0.0736689
LRP6	0.0736386
FIGN	0.0735995
ARMCX1	0.0735418
DDX21	0.0735209
PPP2R5B	0.0734212
PLXNA1	0.0733592
KLHL13	0.0733182
CALB1	0.073315
MAP4	0.0732517
ADCK5	0.0732426
SPOCK2	0.0730904
AGAP2	0.0729838
TRMT5	0.07296
IRF2BP2	0.0729199
AKT1S1	0.0728575
DDR2	0.0727622
ZSWIM8	0.0727593
CACNA2D2	0.0727352
KCNB2	0.0726229
BTG1	0.0726112
LRRN3	0.072589
FKBP4	0.0725181
FAM98A	0.0724862
COL4A5	0.0724484
LHFPL5	0.0724478
LBR	0.072437
ORC2	0.0724358
CRKL	0.0724152
C8orf46	0.0724088
EPB41L2	0.0723213
INTS7	0.0722972
DMTF1	0.0722869
FXR2	0.0722828
NKX6-1	0.0722707
SLC25A4	0.0722625
HOXB5	0.0722551
ATRX	0.0722034
ZNF805	0.072117
TAGAP	0.0720974
RRAS2	0.0720937
UHRF2	0.0720664
NAA10	0.0720463
VPS18	0.0720265
NME5	0.0720166
DMXL1	0.072008
YY2	0.0720078
SLITRK4	0.0719465
YME1L1	0.0719441
TBP	0.0719035
ATP5G3	0.0718195
DHRS3	0.0717567
KCNK9	0.0717284
GOT2	0.0717132
MOB2	0.0715498
MAP2K6	0.0715425
MAGEA3	0.0715372
MAP3K8	0.0715282
HECTD2	0.0715242
ACTR1A	0.0714596
DUSP4	0.0714564
TOP2B	0.0714441
UCHL5	0.0714397
EBF2	0.071418
SMAD2	0.0714072
UNC13A	0.0713664
CCAR2	0.0713476
CENPW	0.0713212
PCDH1	0.0712791
GRAMD1B	0.0712619
DNAJC3	0.0712113
LDB1	0.0711801
CNST	0.0711782
MAGEA1	0.0711246
RNF165	0.0711196
SMG5	0.0711028
HCN2	0.071093
CXCR4	0.0710439
ADAMTSL2	0.071033
CSF1R	0.0710133
ESRRG	0.0710054
CALM3	0.0709748
UBAC1	0.0709735
IGF2R	0.0709672
PSD	0.0708677
MBNL1	0.07085
BPGM	0.070744
SNX6	0.070743
TBC1D14	0.070737
PLXNC1	0.0707267
ARHGDIG	0.0707096
TTBK1	0.0707032
TRIM27	0.070668
TRAF2	0.0706671
UBE2J1	0.0706625
ACTL6B	0.0706496
NUP205	0.0706182
NTNG2	0.0705883
ASTN2	0.0705739
DOCK9	0.0705064
CLPP	0.0704353
ARHGAP17	0.0703404
SLC8A1	0.0703379
DLST	0.0703268
HDAC9	0.0703032
CSRNP3	0.0702817
SOS2	0.0702637
SREBF1	0.07026
KIF3C	0.0702441
TIA1	0.0702438
ASIC1	0.0702044
ESRRB	0.0701917
ATP2C1	0.0701236
DNAJB11	0.0701142
DAGLA	0.070112
PHLPP1	0.0700796
PPP2R2B	0.0700467
BHLHB9	0.0700277
RNF145	0.0699501
HCN1	0.0699065
TBX15	0.0698592
MBP	0.0698188
KCNQ3	0.0698016
PPP1R13B	0.069801
NDUFC1	0.0697726
TMEM225	0.0697491
ABCD3	0.0696602
LMO3	0.069638
DNMT3B	0.0696154
APC	0.0695573
PIGR	0.0695503
ZFP36L1	0.0695437
HOXD9	0.0695074
PLLP	0.0694939
LZTS2	0.0694753
SLC6A3	0.0694678
ATAD2	0.0694662
PPP6R3	0.069443
CTC-432M15.3	0.0694223
RASGEF1A	0.0694177
RGL1	0.0693455
TMEM72	0.0693047
TULP1	0.0692961
NCOA6	0.0692791
UAP1	0.0692562
ETNK1	0.0692163
TWF2	0.0692153
SEC61A2	0.0692109
C15orf57	0.069209
EIF2B5	0.0691978
TCL1B	0.0691442
TRAF4	0.0691338
PROSER1	0.0691001
ALKBH4	0.0690978
KAT2B	0.0690936
RNF103	0.069027
SSU72	0.0690241
SLC7A1	0.0690002
SYS1	0.0689903
SNX30	0.0689598
SLC35B2	0.068946
SYCP2	0.0689179
CDV3	0.0688887
DNAJC2	0.0688671
TYRO3	0.0688629
LRRN2	0.068768
SELT	0.0687191
ABHD2	0.0686868
KCNJ8	0.0686594
PABPC4	0.0686527
TPH2	0.0686369
KCNAB2	0.0685792
CCAR1	0.0685442
ADIPOR2	0.0685242
KIAA0368	0.0685127
INPP5A	0.0684875
HOXA10	0.0684811
NDUFS7	0.0684604
TIAM1	0.068455
DND1	0.0684202
IWS1	0.068376
GPR143	0.068365
HIF1AN	0.0682596
RFX2	0.0681678
PIP5K1C	0.0681234
RPS27A	0.0681067
GRM1	0.0680765
ZNF331	0.0680712
PDE1B	0.068034
LRFN5	0.0680136
TMOD1	0.0680027
TRPC1	0.0679409
USP22	0.0679105
SCYL2	0.0678779
LY6G5C	0.0678246
HDAC7	0.0678087
LMX1B	0.067779
ALAS1	0.0677218
HIST1H3I	0.0677181
IDNK	0.0677157
GRINA	0.0677133
XIAP	0.0676915
DAZAP2	0.067668
FAM131B	0.0676208
CLASP2	0.0676094
USP15	0.0675807
FRYL	0.0675409
AP1S1	0.0675301
KCND3	0.0675236
KHDRBS3	0.0674487
MRPS25	0.0674429
EIF4G3	0.067375
ZNF133	0.0672936
CDC42BPA	0.0672708
AUTS2	0.0672705
TARBP2	0.0672683
COPS6	0.067249
SOX15	0.0672133
FOXI1	0.0671914
TMEM55B	0.0671691
NUDC	0.0671579
PIK3C2B	0.0671257
NRG1	0.067113
MRPL17	0.0670635
INTS10	0.0669747
ZNF460	0.0669509
SLITRK3	0.0669382
CADPS2	0.0669345
KLF15	0.0668909
FAM19A2	0.0668712
SFRP1	0.0668552
GORASP2	0.0667996
RNASEH2C	0.0667927
BAZ2B	0.0667574
PICALM	0.0667293
CD248	0.0666661
NGEF	0.0666378
ERBB2IP	0.0666313
SPATS2	0.0666294
TMEM65	0.0666204
CERS2	0.0665431
TPP2	0.0665059
KDM3A	0.0664883
BRD9	0.0664767
PAK2	0.0664764
ZNF2	0.0664335
COL4A3BP	0.0664111
ATG3	0.0664096
DLGAP2	0.0664046
FBXO21	0.0663972
PIK3R2	0.0662544
RNF130	0.0662503
SEMA3A	0.0662186
KCTD20	0.0661757
LHFP	0.0661718
ELL	0.0660775
FKBP5	0.0660473
FEM1C	0.0660347
EN2	0.0660256
ATG2A	0.0660125
LIMK1	0.065997
ERG	0.0659884
MUC5B	0.0659346
DMRT2	0.0659115
RPL35	0.0658361
ADPGK	0.0658139
SYT1	0.0657977
MAGEH1	0.0657916
RNF4	0.0657822
NXN	0.0657564
OSBPL9	0.0657033
SBK1	0.0656816
RARG	0.0656696
GRIA4	0.0656552
LAMTOR2	0.0655831
SRRM1	0.0655697
CD28	0.0655499
YLPM1	0.0655167
SYNPO2	0.0655155
MSX2	0.0654599
MLLT10	0.0654479
TRPC4	0.0653997
MTMR3	0.0653867
YIPF6	0.0653837
OR2T4	0.0652929
JPH1	0.0650899
AGAP1	0.0650515
ERBB2	0.0650237
KDM2B	0.0649673
RFK	0.0649498
OGDH	0.0649371
URM1	0.0649228
HERC1	0.0649192
PDDC1	0.0648896
HSPA9	0.0648874
OR2A25	0.064818
NXPH4	0.0648156
EIF2S2	0.0648098
FNIP1	0.0647784
SLC22A23	0.0647531
STMN3	0.0646492
SEPT5	0.0646388
IGF2BP1	0.0646286
AKAP11	0.0646186
FAM78A	0.0645292
GATM	0.0645108
TGFA	0.064507
NFIC	0.0645059
VPS25	0.0644801
SLC4A8	0.0644554
SPRED1	0.0644406
CDC37	0.0644362
VAMP1	0.0644074
ZNF512	0.0643943
CSF3	0.0643541
CLK3	0.0643313
AP1M1	0.0643121
CACUL1	0.0642945
ZSCAN18	0.0642881
CRYAA	0.0642707
JAG2	0.0642544
P2RY13	0.0642436
CCDC8	0.0642313
TCF7	0.064226
VIM	0.0642209
ELOVL4	0.0642174
KCNT2	0.0641906
CEBPG	0.0641795
CRAMP1L	0.0641554
M6PR	0.0641219
DAAM2	0.0641024
ATP13A3	0.064101
RABL5	0.0640892
GTF2IRD1	0.0640794
PLXNB2	0.0640643
CA8	0.0640256
NSA2	0.0640035
F2	0.0639951
TSEN15	0.0639647
TSN	0.0639532
TENM3	0.0639479
CISD1	0.0639451
YIPF3	0.0639377
C1orf115	0.0639005
ANXA2	0.0638783
MGRN1	0.0638757
HSF5	0.0638241
LY6H	0.0638183
NAV3	0.063777
KIF21B	0.0637276
PDE2A	0.0637033
ATF4	0.0636905
NR2C2AP	0.0636744
SGK1	0.0636657
TMOD3	0.0636196
VEGFC	0.063589
MOV10	0.0635821
BTBD11	0.0635516
RBFOX1	0.063517
AKAP10	0.0634915
LAG3	0.0634575
VGLL1	0.0633951
ELMO1	0.0633105
PPP1R7	0.0632775
DLG1	0.0632481
GTF2E1	0.063246
SCN5A	0.0632357
UBASH3B	0.0632173
LARGE	0.0632136
CSTF3	0.0631126
FA2H	0.0630723
HERPUD1	0.0630189
PXDC1	0.0630169
METAP2	0.0630034
VPS11	0.0630014
RHOT1	0.0629894
FIZ1	0.0629778
EEF1E1	0.0629495
ANKRD50	0.0629159
REV1	0.0628979
CDKN2A	0.062839
AP000349.1	0.0628153
PID1	0.0628034
HOXC13	0.062746
ADCY5	0.0627444
SART3	0.0627392
PRIMA1	0.0626871
SMAD3	0.0626634
GPR116	0.0626565
HSD17B8	0.0626246
PLXNA3	0.062589
FSTL1	0.0625582
LETMD1	0.0625427
OR52I2	0.0625216
MYH14	0.0625108
PPP4C	0.0624972
HM13	0.0624624
PDE4A	0.0624135
CSGALNACT2	0.0623798
PTPMT1	0.0623595
PTRH2	0.06232
DDHD1	0.0622938
UBAP2	0.062194
CH25H	0.0621469
SEPT9	0.0621215
GRIN1	0.0620594
TNNC2	0.0620476
MAST3	0.0620075
DDX39A	0.0619805
ITGA5	0.0619601
RAB40AL	0.0619335
FOXA3	0.0619108
TTPAL	0.0619017
USP25	0.0618876
TNNC1	0.0618692
IL21	0.0618492
TYROBP	0.0618266
EGFR	0.0618189
BOD1L1	0.0618182
LMO1	0.0617969
MED20	0.061788
CDCA3	0.0617731
RSPO2	0.0617726
FLI1	0.0617694
TNFRSF21	0.0617639
TEX12	0.0617575
EGLN2	0.0617518
RBM12	0.0617268
AASDHPPT	0.061675
BZW1	0.0616749
TNR	0.0616693
ST8SIA4	0.0616686
LONRF3	0.0616663
HSF2	0.0616662
PTP4A3	0.0616609
NFASC	0.0616294
STT3A	0.0615599
IGF1	0.0614795
DOPEY1	0.0614782
PGR	0.0614706
COX5A	0.0614664
AFF3	0.0614432
SLAMF6	0.0614377
TYMS	0.0614333
CMTM7	0.0614245
NF1	0.0614085
CHCHD4	0.0613801
KDM1A	0.0613687
CLIC2	0.0613348
CARTPT	0.06133
SLC20A2	0.0613242
CDK8	0.0613071
MST4	0.0612965
ANKRD44	0.0612616
SLC16A9	0.0612482
PRRT3	0.0612006
TOMM40L	0.0611203
FBXL3	0.0610838
ANO1	0.0610699
FEM1B	0.0610568
PRM1	0.0610185
ZNF385D	0.0610043
MAGEA10	0.0609813
ARIH2	0.0609416
SMG6	0.0609051
RFXAP	0.0609009
KCNN3	0.0608744
SLC38A4	0.0608478
GOLGA2	0.0608245
CELF4	0.0608053
FOSB	0.0607929
NNT	0.0607685
USP12	0.0607454
MAT1A	0.0607414
RAB24	0.060699
TDRD5	0.0606597
WNT2	0.060658
MARK1	0.0605907
RASGRF2	0.0605398
C3orf72	0.0604881
HNF1A	0.0604668
COL12A1	0.0604362
KCNJ11	0.0604216
LARP4	0.0604177
INTS12	0.0604083
SENP7	0.0603751
PMCH	0.0603506
HIST1H3B	0.0603381
RAI2	0.0603291
TRIM23	0.0603194
GRID1	0.0602909
ZNF483	0.0602845
TPPP	0.0602549
SLC4A7	0.0602531
FIBIN	0.0602502
CTNNA1	0.0602139
PAM16	0.0602019
CXorf23	0.0601801
GTF2A1	0.0601765
DAB1	0.0601439
LONRF2	0.0601218
GAREM	0.0601114
PSD4	0.0600582
PDGFRB	0.0600496
OR5H1	0.0600348
AP3B2	0.0600225
TRMT1L	0.0600121
SEMA6B	0.0599959
CUL3	0.0599842
LLGL1	0.0599649
MFSD2A	0.0599369
SENP6	0.0599225
LPCAT3	0.0598935
ALX4	0.0598622
AKAP17A	0.0598561
ANAPC15	0.0598555
ALX1	0.059842
PABPN1	0.0597991
UBA52	0.0597961
TSKU	0.0597617
DCLK2	0.0597021
BMX	0.0596947
GIT2	0.0596884
TDRD1	0.0596752
CCNT2	0.0596508
MAEA	0.0596021
LPPR1	0.0596003
TBX4	0.0595696
IP6K1	0.0595661
HIGD1A	0.0595401
UQCRQ	0.0595346
ZNF566	0.0595113
CMKLR1	0.0595021
DHX37	0.0594974
ANGPT2	0.0594948
LAMTOR1	0.0594946
ALB	0.0594726
STAM	0.0594718
EPHB3	0.0594683
ZMYM2	0.059468
HPCA	0.0594451
RNF11	0.0594424
RTN2	0.0594393
CRB3	0.0594093
FAR1	0.0593881
TLX1	0.0593712
HLX	0.0593685
ADAMTS10	0.05936
CYFIP1	0.0593525
PCDH20	0.0592847
ARMCX6	0.0592774
KREMEN2	0.0592403
CKS2	0.0592249
MAP3K9	0.0591919
HAS3	0.0591746
RNF146	0.0591711
SOST	0.0591704
SLC31A1	0.0591553
CT47B1	0.0591537
FAM102A	0.0591506
NCLN	0.0591173
CARD11	0.0591161
FER	0.0590647
TRIM2	0.0589942
SPTBN2	0.0589926
ACVR1	0.0589917
HN1L	0.0589726
FUNDC1	0.0588689
GRIK5	0.05886
MAP4K1	0.0588584
MYO16	0.0588531
MPHOSPH10	0.0588464
NUDCD3	0.0588197
CGB8	0.0587935
LTBP3	0.0587546
SEC22A	0.0587467
FAT4	0.0587312
SIRT7	0.0587193
PKD2	0.0587079
DNAJB14	0.0586941
AHCY	0.0586907
KCNH7	0.0586837
NAV2	0.058674
CAMK2G	0.0586462
TOX4	0.0586452
BANF1	0.058644
LATS2	0.0586311
PIP4K2A	0.058629
LIN7B	0.0586155
STAU2	0.0586127
KRT18	0.0586023
CBFA2T3	0.0585255
ACOT7	0.0585105
RSBN1L	0.0584553
TIMM17A	0.0583532
FOXJ3	0.0583354
ACTN2	0.0582974
AMBRA1	0.0582931
SULF2	0.05827
ZNF771	0.0582379
ZNF395	0.058227
BRD7	0.0582257
GPR137C	0.0582138
NPR2	0.0582135
POU1F1	0.0582091
FAM222A	0.0581945
TMEM91	0.0581746
HAT1	0.0581588
IPO8	0.0581277
NCKAP5	0.0581201
GRHL3	0.0581024
KIAA1429	0.0580429
PAPPA	0.0580104
FGF19	0.0579961
SHB	0.0579937
PNN	0.057963
DENND1A	0.0579449
VGLL4	0.057936
PAK1IP1	0.0579331
EIF3I	0.0579323
C11orf87	0.0579242
MRPL30	0.0579229
DPY30	0.0579111
ZNF382	0.0579025
XPOT	0.0579013
ITFG1	0.0578942
MAP3K10	0.0578787
SLC16A14	0.0578587
FAM53C	0.0578574
PITPNM1	0.0578535
FAM13B	0.0578455
CRHR1	0.0578419
TNFRSF8	0.0577859
FAM208B	0.0577852
C8orf22	0.0577806
TSPAN13	0.0577651
CDK5	0.0577498
PLA2G15	0.0577306
MSH2	0.0577287
ZNF526	0.0576741
OSBPL11	0.0576655
RCL1	0.057662
RBP4	0.0576592
ACTA2	0.0576329
SNRPB	0.0576319
PLCG2	0.0576296
POLR2D	0.0576114
MAPKBP1	0.0576063
SMC1B	0.0575868
CTCFL	0.0575301
TTR	0.0575293
MAP2	0.0574806
SLC25A1	0.0574701
C12orf71	0.0574525
FAM49A	0.0574479
CACNA2D3	0.0574461
C15orf39	0.0574176
CTSS	0.0573827
ATF1	0.0573534
GALNT13	0.057298
NRG3	0.0572759
RNF25	0.0572597
LRP5	0.0572569
DST	0.0572525
SPECC1L	0.0572409
CXADR	0.0571757
MAPK1IP1L	0.0571619
SIAH2	0.057087
TCEA1	0.0570818
FLT1	0.0570774
GRM5	0.0570146
SV2B	0.057007
SMPD3	0.0570036
HDC	0.0570036
C1QL2	0.0569869
CRABP1	0.0569465
RPA4	0.0569442
SPTLC2	0.0569171
ARHGEF7	0.05691
DUSP10	0.0569024
COX10	0.0568951
EDC3	0.0568342
PRKG2	0.0568175
SCFD1	0.0567918
COG3	0.0567851
MTSS1L	0.0567476
MPC2	0.0567427
NRROS	0.056721
PNO1	0.0566982
ATP6V0A1	0.0566766
TLN1	0.056673
ELOF1	0.0566659
NTMT1	0.0566272
ARHGAP21	0.0565585
PDE4B	0.0565029
CLDN11	0.0564755
ATG13	0.0564696
YEATS2	0.0564596
OSM	0.0564308
EML1	0.0563828
MAGEB4	0.0563808
PSMA1	0.0563544
RAP1GAP	0.0563472
LHX8	0.0563395
SLC9A3	0.0563312
CPSF6	0.0563212
GPRC5B	0.0562051
CCDC126	0.0561877
EFNB3	0.0561655
BICD2	0.0561581
SNF8	0.0561575
GK	0.0561542
TAF6L	0.0561488
ARHGEF11	0.0561368
PRKCA	0.0560956
MED9	0.0560953
DCP1A	0.0560855
EIF3F	0.0560688
CORO2B	0.0560088
USP14	0.055978
RNFT2	0.0559644
RBM41	0.055937
CCSER2	0.0559232
TCF7L1	0.055921
VSTM2L	0.0559099
GKAP1	0.0558908
CDH18	0.0558647
MAB21L1	0.0558609
MSANTD1	0.0558609
GPR20	0.0558562
ZFPL1	0.0558351
GRB2	0.055827
CYP21A2	0.0557741
PPARG	0.0557547
MPC1	0.0557378
LZTS1	0.0557072
CCDC112	0.05568
SSH1	0.0556701
PLEKHJ1	0.0556303
CDC14A	0.0556019
MEF2B	0.055534
SYT9	0.0555335
SESTD1	0.0554901
PRDM11	0.0554561
KAL1	0.0554392
PLEKHA2	0.0554185
ISCU	0.0554083
MTA3	0.0553424
TEFM	0.0553292
PCDHGC3	0.0553207
GAD2	0.0553121
PANK4	0.0552635
TLE1	0.0552529
AMER1	0.0552483
BICC1	0.0552274
FGD6	0.0552046
GOLGA3	0.0551336
TFRC	0.055131
KIAA0101	0.0551282
SNX5	0.055109
MEF2BNB-MEF2B	0.0550736
PRDM2	0.0550424
CAV3	0.0550346
RAPGEFL1	0.0550335
PXK	0.0550308
NFKB1	0.0550193
RUSC1	0.0550175
BMP1	0.0550044
B3GALT1	0.0550006
CCDC64	0.0549978
FHL3	0.0549929
DTNA	0.0549881
DENND4C	0.0549434
BUD31	0.0548946
SULF1	0.0548794
ENPP4	0.054877
NFKBIL1	0.0548614
KATNAL1	0.0548604
ATP8A1	0.0548501
CASC3	0.05484
ARHGEF3	0.0548024
ADAMTS19	0.0547395
IKZF5	0.054738
CLINT1	0.0547126
HTR4	0.0546928
SLC25A37	0.054671
