gene	pDN	DN_pctl	pGOF	GOF_pctl	pLOF	LOF_pctl
CYREN	0.571499	0.709207	0.572629	0.581488	0.418507	0.336067
CYRIA	0.719006	0.290253	0.740181	0.191554	0.282125	0.717849
CYRIB	0.537343	0.770931	0.71444	0.249988	0.508592	0.221753
CYS1	0.475794	0.842426	0.763428	0.147655	0.375564	0.435109
CYSLTR1	0.796908	0.105426	0.797145	0.094083	0.198373	0.920697
CYSLTR2	0.803266	0.096685	0.786225	0.108225	0.195561	0.925559
CYSRT1	0.701649	0.339209	0.649946	0.407267	0.37504	0.436877
CYSTM1	0.683673	0.396514	0.70167	0.280088	0.302337	0.65426
CYTH1	0.448374	0.866585	0.531943	0.661183	0.555346	0.183894
CYTH2	0.661771	0.469138	0.679931	0.333513	0.293081	0.684901
CYTH3	0.535278	0.774171	0.531532	0.662067	0.473561	0.256273
CYTH4	0.731148	0.255389	0.646424	0.414829	0.244177	0.828038
CYTIP	0.777754	0.138473	0.671479	0.354923	0.383226	0.414731
CYTL1	0.57099	0.710287	0.707006	0.267714	0.317182	0.605598
CYYR1	0.789957	0.116769	0.639972	0.429413	0.295829	0.676406
CZIB	0.551972	0.747066	0.392623	0.858335	0.403786	0.368475
D2HGDH	0.773531	0.146035	0.646711	0.414093	0.276803	0.733121
DAAM1	0.437522	0.876356	0.510351	0.696882	0.58393	0.163761
DAAM2	0.385857	0.915247	0.470296	0.762239	0.631845	0.132728
DAB1	0.328179	0.9534	0.435641	0.807611	0.651802	0.118046
DAB2	0.505075	0.81316	0.463894	0.770194	0.460578	0.270759
DAB2IP	0.405743	0.900859	0.487738	0.735134	0.751518	0.05755
DACH1	0.267245	0.979425	0.22407	0.977903	0.92514	9.80E-05
DACH2	0.672055	0.435993	0.413264	0.835748	0.605163	0.150061
DACT1	0.517103	0.798822	0.556447	0.612227	0.595118	0.156985
DACT2	0.656052	0.487699	0.590468	0.544022	0.474056	0.255684
DACT3	0.467388	0.850479	0.579374	0.56656	0.656982	0.115394
DAD1	0.732409	0.251952	0.749336	0.172944	0.239741	0.837957
DAG1	0.316437	0.959489	0.355935	0.895409	0.668865	0.107439
DAGLA	0.367709	0.929045	0.590342	0.544464	0.597071	0.155561
DAGLB	0.5572	0.737736	0.611525	0.49752	0.264759	0.772895
DALRD3	0.54628	0.757083	0.503564	0.709011	0.342115	0.526393
DANCR	0.626414	0.576823	0.624294	0.465897	0.4994	0.229217
DAND5	0.670975	0.439136	0.381685	0.87125	0.38129	0.419838
DAO	0.655968	0.488043	0.498719	0.717407	0.377219	0.430395
DAOA	0.645603	0.519421	0.748589	0.174761	0.289757	0.695802
DAP	0.722185	0.281512	0.676697	0.341812	0.381744	0.418414
DAP3	0.619145	0.596465	0.332433	0.915394	0.348449	0.508569
DAPK1	0.385918	0.915149	0.52447	0.674589	0.567771	0.175055
DAPK2	0.670914	0.439332	0.653554	0.399214	0.373194	0.440658
DAPK3	0.768886	0.155757	0.727834	0.217628	0.274325	0.741763
DAPL1	0.64225	0.530273	0.777658	0.121336	0.447876	0.288092
DAPP1	0.679935	0.409821	0.658006	0.389148	0.338617	0.537638
DARS1	0.690995	0.372846	0.580544	0.564154	0.309972	0.629364
DARS2	0.685128	0.391554	0.563234	0.600344	0.305563	0.64439
DAW1	0.743803	0.216843	0.56439	0.598232	0.313737	0.617481
DAXX	0.457636	0.858041	0.416881	0.831328	0.46484	0.265505
DAZ1	0.690751	0.37368	0.958751	4.91E-04	0.411994	0.348736
DAZ2	0.732108	0.252738	0.778327	0.120255	0.431067	0.312742
DAZ3	0.759337	0.176528	0.791359	0.102283	0.35386	0.493641
DAZ4	0.633759	0.555119	0.881152	0.012178	0.533608	0.201031
DAZAP1	0.382836	0.917898	0.24295	0.970587	0.804977	0.029511
DAZAP2	0.65474	0.492168	0.578836	0.567837	0.334616	0.549325
DAZL	0.455866	0.859612	0.473184	0.758213	0.689924	0.093346
DBF4	0.406066	0.900614	0.278194	0.951633	0.681971	0.097962
DBF4B	0.597768	0.652787	0.508034	0.701007	0.431745	0.311859
DBH	0.562555	0.727817	0.539138	0.64655	0.330623	0.562337
DBI	0.673577	0.430788	0.634969	0.441493	0.164654	0.966757
DBN1	0.321249	0.95728	0.546861	0.63123	0.635928	0.129487
DBNDD1	0.617745	0.600295	0.769872	0.134937	0.362437	0.471201
DBNDD2	0.616827	0.602897	0.725396	0.223423	0.434865	0.307292
DBNL	0.705419	0.328799	0.706925	0.26796	0.228179	0.863
DBP	0.615451	0.606678	0.335179	0.912792	0.544592	0.192192
DBR1	0.613115	0.613209	0.406853	0.843408	0.364542	0.465603
DBT	0.75793	0.179573	0.549386	0.626172	0.394668	0.387577
DBX1	0.68794	0.38301	0.379125	0.873558	0.518917	0.213405
DBX2	0.58447	0.682445	0.400314	0.850773	0.601593	0.153008
DCAF1	0.240019	0.98797	0.19999	0.985613	0.848873	0.012276
DCAF10	0.344158	0.943874	0.357461	0.893837	0.760565	0.052296
DCAF11	0.685957	0.388755	0.50772	0.701498	0.353621	0.494279
DCAF12	0.613055	0.613356	0.418457	0.828922	0.457881	0.273852
DCAF12L1	0.368668	0.928161	0.270109	0.956396	0.752124	0.057108
DCAF12L2	0.650845	0.502185	0.469176	0.763761	0.431638	0.312055
DCAF13	0.68792	0.383108	0.536507	0.651903	0.384508	0.41095
DCAF15	0.253379	0.983943	0.32246	0.922858	0.788711	0.037515
DCAF16	0.592394	0.663982	0.681523	0.330223	0.422027	0.329045
DCAF17	0.555782	0.739897	0.429575	0.815713	0.383884	0.412669
DCAF4	0.737908	0.23614	0.456654	0.780015	0.329904	0.565234
DCAF4L1	0.680693	0.406875	0.434445	0.809526	0.446427	0.290007
DCAF4L2	0.697149	0.353204	0.48878	0.733759	0.39102	0.396612
DCAF5	0.308218	0.963172	0.44773	0.791996	0.764108	0.050577
DCAF6	0.555773	0.739946	0.399231	0.852148	0.490686	0.237564
DCAF7	0.298359	0.968082	0.267619	0.957967	0.805977	0.029217
DCAF8	0.394709	0.908618	0.351359	0.89919	0.695038	0.089909
DCAF8L1	0.580254	0.691579	0.46787	0.765627	0.480533	0.247974
DCAF8L2	0.538802	0.768574	0.47055	0.761748	0.523869	0.208642
DCAKD	0.755801	0.185809	0.65946	0.385858	0.240452	0.836337
DCANP1	0.74995	0.199902	0.704703	0.272428	0.414386	0.343776
DCBLD1	0.677666	0.41699	0.701876	0.27945	0.331549	0.559931
DCBLD2	0.717513	0.294476	0.784706	0.110533	0.306015	0.642917
DCC	0.489116	0.830248	0.518738	0.684164	0.687316	0.094869
DCD	0.77393	0.145053	0.63013	0.452688	0.192234	0.930862
DCDC1	0.612864	0.613995	0.45927	0.776676	0.444601	0.292904
DCDC2	0.643239	0.52659	0.572247	0.582519	0.396701	0.383796
DCDC2B	0.721749	0.282642	0.671723	0.354137	0.346036	0.515689
DCDC2C	0.744996	0.213405	0.734556	0.203486	0.294072	0.682102
DCHS1	0.522321	0.791849	0.610355	0.500025	0.600619	0.153695
DCHS2	0.676167	0.421949	0.679379	0.335232	0.427585	0.319273
DCK	0.734031	0.246894	0.60088	0.520943	0.238913	0.841002
DCLK1	0.509184	0.808397	0.48379	0.74137	0.68392	0.096489
DCLK2	0.572591	0.70685	0.608404	0.504346	0.602219	0.152369
DCLK3	0.667443	0.450528	0.754299	0.163418	0.41352	0.345838
DCLRE1A	0.632313	0.559637	0.314078	0.929094	0.413589	0.345495
DCLRE1B	0.586966	0.676651	0.535046	0.654554	0.461719	0.269384
DCLRE1C	0.662957	0.465603	0.472416	0.759244	0.340567	0.531058
DCN	0.741957	0.2219	0.601881	0.51893	0.389527	0.399362
DCP1A	0.40953	0.898257	0.362182	0.888583	0.544915	0.191849
DCP1B	0.642833	0.527817	0.453989	0.783256	0.3914	0.395924
DCP2	0.500586	0.817923	0.422738	0.824454	0.580781	0.166364
DCPS	0.496139	0.822735	0.192398	0.988264	0.393051	0.391996
DCST1	0.618298	0.59892	0.702195	0.278664	0.300835	0.658925
DCST2	0.739074	0.232605	0.801521	0.08878	0.219408	0.881267
DCSTAMP	0.711084	0.312006	0.730721	0.211245	0.225823	0.868009
DCT	0.543678	0.761159	0.47676	0.752222	0.406025	0.363025
DCTD	0.710612	0.313381	0.645554	0.417235	0.347953	0.509747
DCTN1	0.609494	0.624061	0.551627	0.622146	0.44516	0.291873
DCTN2	0.532987	0.777952	0.487388	0.736263	0.632806	0.132188
DCTN3	0.72042	0.286767	0.643821	0.421066	0.330619	0.562386
DCTN4	0.257477	0.982323	0.254538	0.964842	0.718067	0.075865
DCTN5	0.707275	0.323791	0.604061	0.51397	0.34581	0.516425
DCTN6	0.716318	0.297324	0.504441	0.707783	0.364649	0.465406
DCTPP1	0.705375	0.328849	0.671761	0.353891	0.281957	0.71834
DCUN1D1	0.434663	0.878664	0.732534	0.207513	0.512877	0.218218
DCUN1D2	0.648696	0.509256	0.775428	0.125559	0.309735	0.630297
DCUN1D3	0.332324	0.950994	0.641117	0.426958	0.596873	0.155757
DCUN1D4	0.74748	0.206875	0.747143	0.177903	0.26736	0.764891
DCUN1D5	0.341893	0.945789	0.678903	0.336214	0.61064	0.146379
DCX	0.599898	0.648024	0.459528	0.776332	0.626956	0.135969
DCXR	0.704266	0.33204	0.615482	0.487945	0.309812	0.630002
DDA1	0.392643	0.910385	0.439594	0.802553	0.729709	0.069138
DDAH1	0.680442	0.407857	0.634485	0.44218	0.230019	0.859317
DDAH2	0.528756	0.783059	0.476891	0.751976	0.346323	0.514707
DDB1	0.253673	0.983796	0.32584	0.919764	0.724946	0.071839
DDB2	0.667713	0.449448	0.406505	0.843997	0.423514	0.326835
DDC	0.7802	0.13317	0.698351	0.288387	0.244284	0.827744
DDHD1	0.357213	0.935428	0.448597	0.790867	0.647196	0.12163
DDHD2	0.615432	0.606825	0.624277	0.466045	0.280707	0.722219
DDI1	0.604468	0.637319	0.4353	0.808151	0.452074	0.281807
DDI2	0.468337	0.8493	0.410858	0.838301	0.610315	0.146624
DDIAS	0.593172	0.662509	0.341409	0.90852	0.516829	0.214829
DDIT3	0.474104	0.843899	0.372523	0.879794	0.485542	0.243064
DDIT4	0.562272	0.728505	0.592353	0.5397	0.430989	0.312792
DDIT4L	0.624537	0.582224	0.628478	0.457304	0.527108	0.206138
DDN	0.459059	0.857059	0.624812	0.464964	0.565199	0.177118
DDO	0.734869	0.244832	0.536016	0.652885	0.307363	0.638694
DDOST	0.612668	0.614829	0.537578	0.649595	0.344261	0.520795
DDR1	0.742822	0.219151	0.814079	0.07287	0.268011	0.763074
DDR2	0.594534	0.659956	0.748416	0.175104	0.415146	0.342254
DDRGK1	0.692686	0.367935	0.432266	0.812472	0.244334	0.827695
DDT	0.680193	0.408839	0.658445	0.387773	0.316432	0.608348
DDTL	0.609443	0.624356	0.587728	0.55016	0.351339	0.500663
DDX1	0.468463	0.849153	0.454369	0.782912	0.596676	0.156101
DDX10	0.775191	0.143236	0.534593	0.655635	0.306798	0.640069
DDX11	0.605684	0.634471	0.422019	0.825534	0.406424	0.362092
DDX11L8	0.684385	0.393911	0.389937	0.861822	0.323509	0.586398
DDX12P	0.717412	0.29482	0.400148	0.851019	0.348229	0.509109
DDX17	0.513188	0.803486	0.475516	0.754088	0.695946	0.08932
DDX18	0.81189	0.085981	0.544226	0.636337	0.334891	0.548343
DDX19A	0.70497	0.32988	0.577597	0.570439	0.421436	0.330371
DDX19B	0.834202	0.060987	0.628531	0.457206	0.226676	0.866045
DDX20	0.692066	0.36985	0.724628	0.225534	0.352966	0.495654
DDX21	0.577385	0.697668	0.419934	0.827645	0.594913	0.157181
DDX23	0.6671	0.451805	0.54033	0.644144	0.518156	0.213896
DDX24	0.608026	0.62794	0.361143	0.889664	0.5297	0.204076
DDX25	0.739194	0.232359	0.615116	0.488927	0.323616	0.586005
DDX27	0.729519	0.260054	0.552504	0.620525	0.419914	0.333268
DDX28	0.677512	0.417334	0.636594	0.437761	0.332056	0.558065
DDX31	0.800661	0.099877	0.606839	0.507587	0.294865	0.679745
DDX39A	0.672872	0.433587	0.51617	0.688436	0.425513	0.323202
DDX39B	0.35848	0.934839	0.312433	0.930665	0.728457	0.069973
DDX3X	0.47454	0.843408	0.416381	0.831918	0.70672	0.082347
DDX3Y	0.542496	0.763025	0.378782	0.873754	0.612295	0.145102
DDX4	0.52898	0.782519	0.417825	0.830002	0.653692	0.117113
DDX41	0.775588	0.142303	0.644718	0.418807	0.23639	0.846501
DDX42	0.474672	0.84326	0.442675	0.798772	0.698305	0.087503
DDX43	0.818742	0.076651	0.709376	0.262558	0.240824	0.835404
DDX46	0.607459	0.629217	0.482376	0.743874	0.625915	0.136656
DDX47	0.800023	0.101007	0.611336	0.497913	0.289778	0.695605
DDX49	0.705313	0.328996	0.628081	0.458139	0.340341	0.531844
DDX5	0.501531	0.816597	0.326623	0.919371	0.700917	0.085637
DDX50	0.727854	0.26467	0.498943	0.716818	0.362263	0.471888
DDX51	0.693352	0.365922	0.573961	0.578493	0.334852	0.54849
DDX52	0.721446	0.283427	0.565317	0.596415	0.366551	0.4603
DDX53	0.742307	0.221016	0.621212	0.474245	0.366101	0.461871
DDX54	0.780119	0.133415	0.570045	0.586938	0.266493	0.767395
DDX55	0.816758	0.078861	0.638607	0.432998	0.21966	0.880579
DDX56	0.794883	0.108421	0.614546	0.490056	0.26305	0.777952
DDX59	0.744281	0.215468	0.693792	0.299386	0.254602	0.800344
DDX6	0.46692	0.850921	0.449862	0.789001	0.721778	0.073656
DDX60	0.663689	0.463639	0.42975	0.815517	0.294427	0.680923
DDX60L	0.580221	0.691677	0.32453	0.920943	0.415632	0.341517
DEAF1	0.497224	0.821606	0.354294	0.89698	0.51651	0.215173
DECR1	0.69655	0.355266	0.493506	0.725853	0.404501	0.366364
DECR2	0.758247	0.178787	0.583938	0.557623	0.334185	0.550356
DEDD	0.297181	0.968475	0.495957	0.721139	0.684106	0.096391
DEDD2	0.539856	0.76715	0.644665	0.419052	0.378686	0.426467
DEF6	0.517703	0.797987	0.679962	0.333366	0.540099	0.195973
DEF8	0.589622	0.67125	0.743705	0.185122	0.315763	0.610508
DEFA1B	0.806719	0.092168	0.578466	0.56877	0.132598	0.989688
DEFA3	0.798654	0.102971	0.52511	0.673508	0.137356	0.987331
DEFA4	0.719635	0.288583	0.476039	0.753302	0.255597	0.797692
DEFA5	0.827344	0.067223	0.492584	0.727228	0.176436	0.953351
DEFA6	0.830778	0.063982	0.438365	0.804125	0.180815	0.947852
DEFB1	0.658234	0.480579	0.442869	0.79838	0.259174	0.788215
DEFB103B	0.660197	0.473852	0.415796	0.832703	0.243178	0.830543
DEFB104B	0.598891	0.650184	0.450875	0.787331	0.273615	0.743973
DEFB105B	0.684397	0.393764	0.54229	0.64056	0.249095	0.815222
DEFB106B	0.853285	0.044144	0.574844	0.576185	0.105314	0.997496
DEFB107B	0.774241	0.144562	0.471757	0.760029	0.153279	0.976627
DEFB108B	0.824825	0.070464	0.532562	0.660005	0.114913	0.995826
DEFB108C	0.733952	0.24714	0.481598	0.745004	0.152115	0.977805
DEFB109B	0.691254	0.371863	0.555705	0.613258	0.211504	0.896833
DEFB110	0.623325	0.585171	0.48171	0.744856	0.284241	0.711809
DEFB112	0.670974	0.439185	0.519606	0.682593	0.330356	0.56327
DEFB113	0.67178	0.43673	0.522878	0.677437	0.202247	0.913675
DEFB114	0.757382	0.181242	0.544293	0.636239	0.160108	0.971667
DEFB115	0.711443	0.311024	0.591064	0.542205	0.201259	0.91559
DEFB116	0.847369	0.049693	0.622524	0.470955	0.136532	0.987724
DEFB118	0.715897	0.298601	0.651303	0.403977	0.17355	0.957034
DEFB119	0.822322	0.072968	0.548346	0.628578	0.107183	0.997299
DEFB121	0.735353	0.243653	0.638034	0.434324	0.126716	0.992487
DEFB123	0.601938	0.64326	0.408403	0.841296	0.265908	0.769015
DEFB124	0.763962	0.166217	0.589804	0.545937	0.142921	0.983943
DEFB125	0.809845	0.088485	0.758687	0.155807	0.126557	0.992536
DEFB126	0.607266	0.629855	0.697517	0.289958	0.205958	0.906752
DEFB127	0.62145	0.590376	0.660936	0.38193	0.202408	0.913528
DEFB128	0.836068	0.059465	0.697225	0.290793	0.096386	0.99838
DEFB129	0.698309	0.350061	0.705613	0.27066	0.274833	0.740142
DEFB130A	0.709439	0.31672	0.533389	0.658384	0.218212	0.883771
DEFB130B	0.681123	0.405696	0.451291	0.786938	0.243614	0.829561
DEFB131A	0.953657	5.89E-04	0.695782	0.294672	0.028822	0.999804
DEFB131B	0.844877	0.052001	0.603544	0.515099	0.105775	0.997447
DEFB132	0.659422	0.475915	0.466131	0.767886	0.246077	0.823275
DEFB133	0.730365	0.257795	0.665005	0.371078	0.175401	0.954726
DEFB134	0.834153	0.061036	0.60787	0.505475	0.058421	0.999509
DEFB135	0.666608	0.453572	0.551118	0.623423	0.228836	0.861478
DEFB136	0.673442	0.431328	0.550045	0.624896	0.188522	0.936607
DEFB4B	0.825389	0.069777	0.478717	0.749669	0.125541	0.992929
DEGS1	0.632719	0.558213	0.542947	0.638988	0.380362	0.422048
DEGS2	0.73287	0.250528	0.666571	0.367591	0.320605	0.596415
DEK	0.505161	0.813013	0.148481	0.995924	0.472969	0.257108
DELE1	0.658398	0.479597	0.620478	0.475816	0.437739	0.302971
DELEC1	0.536505	0.772551	0.807956	0.07999	0.369846	0.451412
DENND10	0.551396	0.747852	0.520302	0.681758	0.324917	0.581046
DENND10P1	0.470609	0.846894	0.530848	0.663246	0.375283	0.435944
DENND11	0.486099	0.832949	0.608206	0.504886	0.376181	0.433391
DENND1A	0.376766	0.922809	0.564458	0.598036	0.663876	0.110778
DENND1B	0.667176	0.451412	0.664712	0.371814	0.38635	0.406531
DENND1C	0.677799	0.416548	0.750507	0.171029	0.29306	0.68495
DENND2A	0.651827	0.499877	0.659576	0.385416	0.400427	0.375252
DENND2B	0.542061	0.763565	0.565421	0.596121	0.598059	0.155365
DENND2C	0.720034	0.287798	0.682467	0.327817	0.350292	0.50302
DENND2D	0.631846	0.560864	0.597762	0.527179	0.309197	0.632261
DENND3	0.605741	0.634225	0.610229	0.50027	0.317576	0.604861
DENND4A	0.332764	0.9507	0.387532	0.864572	0.72559	0.071348
DENND4B	0.329436	0.952664	0.555474	0.613798	0.661965	0.112251
DENND4C	0.622309	0.588166	0.537073	0.650626	0.409065	0.355266
DENND5A	0.588399	0.673165	0.650803	0.405254	0.362274	0.47179
DENND5B	0.421988	0.889074	0.577138	0.571323	0.592014	0.158605
DENND6A	0.61015	0.622146	0.60355	0.51505	0.366486	0.460594
DENND6B	0.674962	0.425878	0.65758	0.389934	0.316766	0.607218
DENR	0.372894	0.925411	0.200431	0.985465	0.630252	0.133612
DEPDC1	0.667389	0.450822	0.578426	0.568868	0.399938	0.376136
DEPDC1B	0.63333	0.55615	0.713799	0.251264	0.356447	0.486717
DEPDC4	0.5161	0.800246	0.639543	0.430641	0.429549	0.315296
DEPDC5	0.508233	0.809379	0.527295	0.669335	0.496931	0.231721
DEPDC7	0.58175	0.688387	0.589535	0.546624	0.352935	0.495802
DEPP1	0.634541	0.55286	0.616706	0.484901	0.420428	0.332286
DEPTOR	0.540991	0.765333	0.643498	0.421753	0.491121	0.237073
DERA	0.791734	0.113086	0.479921	0.747704	0.315143	0.612521
DERL1	0.883868	0.022539	0.746204	0.179818	0.178955	0.949914
DERL2	0.70396	0.332973	0.737976	0.196219	0.370684	0.448515
DERL3	0.821268	0.074245	0.774649	0.127081	0.219077	0.8822
DERPC	0.404	0.902136	0.179874	0.991407	0.853878	0.01041
DES	0.956093	5.40E-04	0.874727	0.016008	0.154129	0.976037
DESI1	0.636865	0.545937	0.714249	0.250282	0.251647	0.808495
DESI2	0.445744	0.86904	0.621684	0.47287	0.495296	0.23344
DET1	0.451017	0.864081	0.283656	0.948883	0.65285	0.117702
DEUP1	0.701583	0.339406	0.64484	0.41861	0.375934	0.433833
DEXI	0.713527	0.305082	0.808846	0.078566	0.349383	0.505524
DFFA	0.643117	0.526835	0.584637	0.555954	0.329471	0.567051
DFFB	0.525362	0.788215	0.354726	0.896587	0.363893	0.467321
DGAT1	0.676774	0.419936	0.697922	0.28932	0.351635	0.499583
DGAT2	0.533738	0.77697	0.496506	0.720403	0.38236	0.416695
DGAT2L6	0.686124	0.388313	0.540425	0.64385	0.249803	0.813062
DGCR2	0.570894	0.710582	0.650863	0.405058	0.365084	0.464228
DGCR6	0.614708	0.60879	0.740671	0.190572	0.37061	0.448957
DGCR6L	0.732778	0.250872	0.832804	0.051117	0.236202	0.846943
DGCR8	0.249509	0.98522	0.346759	0.903364	0.806238	0.029119
DGKA	0.568841	0.714854	0.682933	0.325509	0.37069	0.448416
DGKB	0.557757	0.736411	0.695912	0.29423	0.463844	0.266634
DGKD	0.641627	0.531746	0.628277	0.457795	0.378367	0.427695
DGKE	0.641283	0.532531	0.696423	0.293003	0.270089	0.755708
DGKG	0.664301	0.46138	0.741112	0.189934	0.316802	0.606973
DGKH	0.630095	0.566069	0.722522	0.230886	0.334683	0.549227
DGKI	0.384722	0.916032	0.600973	0.520795	0.663512	0.111024
DGKK	0.546324	0.756887	0.626966	0.460349	0.409778	0.353941
DGKQ	0.565713	0.72217	0.706177	0.269482	0.360767	0.476013
DGKZ	0.590677	0.668647	0.665913	0.369261	0.404056	0.36769
DGLUCY	0.56735	0.717702	0.344724	0.905573	0.411535	0.349963
DGUOK	0.762054	0.170685	0.52559	0.672232	0.270101	0.75561
DHCR24	0.590471	0.669187	0.619723	0.477879	0.29977	0.662558
DHCR7	0.623237	0.585416	0.657174	0.390818	0.33542	0.547066
DHDDS	0.658394	0.479646	0.583009	0.559538	0.337686	0.540241
DHDH	0.697808	0.351289	0.605857	0.509796	0.287767	0.700958
DHFR	0.718331	0.292315	0.677487	0.339602	0.173749	0.956789
DHFR2	0.694112	0.363025	0.545725	0.633587	0.235491	0.848318
DHH	0.612267	0.615762	0.517859	0.686128	0.348519	0.50847
DHODH	0.722237	0.281218	0.463454	0.77098	0.278099	0.728996
DHPS	0.646164	0.5178	0.519579	0.682691	0.309076	0.632654
DHRS1	0.752615	0.192831	0.58185	0.561945	0.295907	0.675964
DHRS11	0.725402	0.271986	0.581637	0.562239	0.281136	0.72055
DHRS12	0.782227	0.129831	0.659887	0.38463	0.186712	0.939406
DHRS13	0.72309	0.278272	0.642934	0.422784	0.222263	0.875424
DHRS2	0.802422	0.097815	0.537006	0.650773	0.277053	0.732384
DHRS3	0.751496	0.196072	0.649335	0.408642	0.272903	0.747066
DHRS4	0.81552	0.080432	0.671749	0.353941	0.250835	0.810754
DHRS4-AS1	0.738724	0.233783	0.817011	0.069138	0.301752	0.656371
DHRS4L1	0.745498	0.212325	0.5264	0.671053	0.351891	0.498601
DHRS4L2	0.806248	0.093052	0.641858	0.425239	0.293694	0.683035
DHRS7	0.711	0.31235	0.574273	0.57756	0.304381	0.648318
DHRS7B	0.731183	0.255242	0.559346	0.60712	0.302967	0.652345
DHRS7C	0.740783	0.226418	0.62599	0.462558	0.311648	0.624306
DHRS9	0.804145	0.095409	0.584834	0.555659	0.221714	0.876602
DHRSX	0.768676	0.155954	0.590143	0.545102	0.202439	0.913332
DHTKD1	0.516721	0.799509	0.487118	0.736754	0.441177	0.297864
DHX15	0.325406	0.954677	0.33582	0.91235	0.807595	0.028677
DHX16	0.697379	0.352615	0.567252	0.592929	0.339565	0.534495
DHX29	0.681279	0.404812	0.522922	0.677289	0.322404	0.589639
DHX30	0.33945	0.946919	0.358174	0.892954	0.665261	0.110091
DHX32	0.616715	0.60329	0.498904	0.716965	0.334792	0.548736
DHX33	0.758432	0.178542	0.570916	0.585023	0.34117	0.529094
DHX34	0.6206	0.592487	0.534153	0.656666	0.32341	0.586742
DHX35	0.687581	0.383648	0.519572	0.682789	0.423176	0.327523
DHX36	0.611973	0.616892	0.46394	0.770047	0.431179	0.312595
DHX37	0.418005	0.89207	0.360224	0.890989	0.619449	0.140584
DHX38	0.731407	0.254407	0.57262	0.581537	0.334827	0.548637
DHX40	0.549559	0.750749	0.493889	0.724675	0.523642	0.209084
DHX57	0.628562	0.570881	0.445103	0.795335	0.33684	0.542647
DHX58	0.618855	0.597643	0.582467	0.560815	0.295314	0.678272
DHX8	0.729702	0.259759	0.601704	0.519371	0.375203	0.43619
DHX9	0.282594	0.97422	0.352319	0.898453	0.759881	0.05259
DIABLO	0.660524	0.473067	0.675678	0.34412	0.296737	0.672625
DIAPH1	0.429026	0.883378	0.528173	0.667911	0.5628	0.178885
DIAPH2	0.438825	0.875129	0.511643	0.694869	0.598697	0.154923
DIAPH2-AS1	0.707569	0.322858	0.407467	0.842622	0.459127	0.272428
DIAPH3	0.708117	0.320992	0.664108	0.373042	0.289655	0.695949
DICER1	0.321413	0.957181	0.385331	0.866438	0.700047	0.086128
DIDO1	0.175422	0.997103	0.160169	0.994549	0.865156	0.007218
DIMT1	0.661848	0.468893	0.441741	0.800098	0.377175	0.430641
DIO1	0.610625	0.620771	0.561457	0.602995	0.354905	0.49094
DIO2	0.538771	0.768672	0.566303	0.594599	0.498271	0.230444
DIO3	0.512815	0.803732	0.66836	0.362534	0.440019	0.299435
DIP2A	0.668078	0.44822	0.569654	0.587675	0.420474	0.332237
DIP2B	0.374119	0.924626	0.409415	0.840167	0.733822	0.06737
DIP2C	0.363596	0.931549	0.385021	0.866929	0.745321	0.061233
DIP2C-AS1	0.704166	0.332433	0.702234	0.278517	0.265155	0.771422
DIPK1A	0.610557	0.620869	0.44681	0.793125	0.337996	0.539553
DIPK1B	0.580002	0.692364	0.502812	0.710238	0.356344	0.48711
DIPK1C	0.53474	0.775399	0.592862	0.538718	0.358378	0.482445
DIPK2A	0.543062	0.762239	0.474723	0.755414	0.395106	0.3863
DIPK2B	0.569358	0.71397	0.44067	0.801228	0.393147	0.391701
DIRAS1	0.746939	0.208348	0.759807	0.153941	0.368486	0.455193
DIRAS2	0.715315	0.300319	0.702219	0.278615	0.408292	0.357378
DIRAS3	0.773355	0.146477	0.726412	0.22082	0.275207	0.738915
DIRC1	0.76964	0.154235	0.676012	0.343236	0.356833	0.485735
DIS3	0.617384	0.601424	0.614531	0.490155	0.397857	0.380751
DIS3L	0.626031	0.578051	0.641587	0.42578	0.334246	0.550209
DIS3L2	0.512765	0.803781	0.551705	0.6219	0.55953	0.181193
DISC1	0.528919	0.782715	0.504516	0.707734	0.394294	0.388804
DISP1	0.647263	0.514412	0.663459	0.374761	0.332298	0.557034
DISP2	0.633302	0.556298	0.719411	0.238841	0.38216	0.417137
DISP3	0.643053	0.526933	0.613318	0.493101	0.347237	0.512251
DIXDC1	0.661356	0.47066	0.589182	0.547066	0.37979	0.423079
DKC1	0.362655	0.931893	0.285154	0.947803	0.800803	0.031476
DKFZp781C0719	0.757038	0.182323	0.851934	0.032359	0.267063	0.765873
DKK1	0.574197	0.703315	0.46451	0.769556	0.526337	0.206875
DKK2	0.441372	0.872772	0.313969	0.92929	0.688833	0.093985
DKK3	0.669329	0.444341	0.662491	0.377805	0.281141	0.720501
DKK4	0.554031	0.74299	0.491476	0.729241	0.407366	0.359538
DKKL1	0.749985	0.199804	0.560814	0.604076	0.312043	0.622784
DLAT	0.681337	0.404567	0.593074	0.538375	0.389213	0.400442
DLC1	0.329303	0.952811	0.385584	0.866192	0.772998	0.04547
DLD	0.726598	0.268795	0.672693	0.351682	0.333153	0.554039
DLEC1	0.559351	0.733759	0.508831	0.699779	0.430304	0.313675
DLEU1	0.663172	0.465112	0.703628	0.275276	0.383293	0.414535
DLEU7	0.53374	0.776921	0.607518	0.506506	0.429174	0.316229
DLG1	0.40875	0.898748	0.610693	0.49919	0.696113	0.089271
DLG2	0.568207	0.716082	0.599231	0.524036	0.633242	0.131893
