Name	Category	Type
SLR20_KIDNEY	Gene knock-out studies	Gene-Level
SLR23_KIDNEY	Gene knock-out studies	Gene-Level
SLR26_KIDNEY	Gene knock-out studies	Gene-Level
SNGM_ENDOMETRIUM	Gene knock-out studies	Gene-Level
SNU1_STOMACH	Gene knock-out studies	Gene-Level
SNU201_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
SNU213_PANCREAS	Gene knock-out studies	Gene-Level
SNU349_KIDNEY	Gene knock-out studies	Gene-Level
SNU398_LIVER	Gene knock-out studies	Gene-Level
SNU410_PANCREAS	Gene knock-out studies	Gene-Level
SNU449_LIVER	Gene knock-out studies	Gene-Level
SNU503_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
SNU685_ENDOMETRIUM	Gene knock-out studies	Gene-Level
SNU8_OVARY	Gene knock-out studies	Gene-Level
SNU840_OVARY	Gene knock-out studies	Gene-Level
SUIT2_PANCREAS	Gene knock-out studies	Gene-Level
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
SW1463_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
SW403_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
SW48_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
SW620_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
SW837_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
T24_URINARY_TRACT	Gene knock-out studies	Gene-Level
T3M4_PANCREAS	Gene knock-out studies	Gene-Level
T84_LARGE_INTESTINE	Gene knock-out studies	Gene-Level
T98G_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
TCCPAN2_PANCREAS	Gene knock-out studies	Gene-Level
TCCSUP_URINARY_TRACT	Gene knock-out studies	Gene-Level
TE1_OESOPHAGUS	Gene knock-out studies	Gene-Level
TE5_OESOPHAGUS	Gene knock-out studies	Gene-Level
TEN_ENDOMETRIUM	Gene knock-out studies	Gene-Level
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Level
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene knock-out studies	Gene-Level
TOV21G_OVARY	Gene knock-out studies	Gene-Level
TUHR10TKB_KIDNEY	Gene knock-out studies	Gene-Level
TUHR4TKB_KIDNEY	Gene knock-out studies	Gene-Level
U118MG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
U178_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
U251MG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
U2OS_BONE	Gene knock-out studies	Gene-Level
U343_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
U87MG_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Level
UACC257_SKIN	Gene knock-out studies	Gene-Level
UACC62_SKIN	Gene knock-out studies	Gene-Level
UMUC3_URINARY_TRACT	Gene knock-out studies	Gene-Level
UOK101_KIDNEY	Gene knock-out studies	Gene-Level
VMCUB1_URINARY_TRACT	Gene knock-out studies	Gene-Level
WM115_SKIN	Gene knock-out studies	Gene-Level
WM1799_SKIN	Gene knock-out studies	Gene-Level
WM2664_SKIN	Gene knock-out studies	Gene-Level
WM793_SKIN	Gene knock-out studies	Gene-Level
WM983B_SKIN	Gene knock-out studies	Gene-Level
YAPC_PANCREAS	Gene knock-out studies	Gene-Level
YKG1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Level
ZR751_BREAST	Gene knock-out studies	Gene-Level
Adipose_Subcutaneous	Gene expression	Gene-Level
Adipose_Visceral_Omentum	Gene expression	Gene-Level
Adrenal_Gland	Gene expression	Gene-Level
Artery_Aorta	Gene expression	Gene-Level
Artery_Coronary	Gene expression	Gene-Level
Artery_Tibial	Gene expression	Gene-Level
Bladder	Gene expression	Gene-Level
Brain_Amygdala	Gene expression	Gene-Level
Brain_Anterior_cingulate_cortex_BA24	Gene expression	Gene-Level
Brain_Caudate_basal_ganglia	Gene expression	Gene-Level
Brain_Cerebellar_Hemisphere	Gene expression	Gene-Level
Brain_Cerebellum	Gene expression	Gene-Level
Brain_Cortex	Gene expression	Gene-Level
Brain_Frontal_Cortex_BA9	Gene expression	Gene-Level
Brain_Hippocampus	Gene expression	Gene-Level
Brain_Hypothalamus	Gene expression	Gene-Level
Brain_Nucleus_accumbens_basal_ganglia	Gene expression	Gene-Level
Brain_Putamen_basal_ganglia	Gene expression	Gene-Level
Brain_Spinal_cord_cervical_c-1	Gene expression	Gene-Level
Brain_Substantia_nigra	Gene expression	Gene-Level
Breast_Mammary_Tissue	Gene expression	Gene-Level
Cells_Cultured_fibroblasts	Gene expression	Gene-Level
Cells_EBV-transformed_lymphocytes	Gene expression	Gene-Level
Cervix_Ectocervix	Gene expression	Gene-Level
Cervix_Endocervix	Gene expression	Gene-Level
Colon_Sigmoid	Gene expression	Gene-Level
Colon_Transverse	Gene expression	Gene-Level
Colon_Transverse_Mixed_Cell	Gene expression	Gene-Level
Colon_Transverse_Mucosa	Gene expression	Gene-Level
Colon_Transverse_Muscularis	Gene expression	Gene-Level
Esophagus_Gastroesophageal_Junction	Gene expression	Gene-Level
Esophagus_Mucosa	Gene expression	Gene-Level
Esophagus_Muscularis	Gene expression	Gene-Level
Fallopian_Tube	Gene expression	Gene-Level
Heart_Atrial_Appendage	Gene expression	Gene-Level
Heart_Left_Ventricle	Gene expression	Gene-Level
Kidney_Cortex	Gene expression	Gene-Level
Kidney_Medulla	Gene expression	Gene-Level
Liver	Gene expression	Gene-Level
Liver_Hepatocyte	Gene expression	Gene-Level
Liver_Mixed_Cell	Gene expression	Gene-Level
Liver_Portal_Tract	Gene expression	Gene-Level
Lung	Gene expression	Gene-Level
Minor_Salivary_Gland	Gene expression	Gene-Level
Muscle_Skeletal	Gene expression	Gene-Level
Nerve_Tibial	Gene expression	Gene-Level
Ovary	Gene expression	Gene-Level
Pancreas	Gene expression	Gene-Level
Pancreas_Acini	Gene expression	Gene-Level
Pancreas_Islets	Gene expression	Gene-Level
Pancreas_Mixed_Cell	Gene expression	Gene-Level
Pituitary	Gene expression	Gene-Level
Prostate	Gene expression	Gene-Level
Skin_Not_Sun_Exposed_Suprapubic	Gene expression	Gene-Level
Skin_Sun_Exposed_Lower_leg	Gene expression	Gene-Level
Small_Intestine_Terminal_Ileum	Gene expression	Gene-Level
Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Gene expression	Gene-Level
Small_Intestine_Terminal_Ileum_Mixed_Cell	Gene expression	Gene-Level
Spleen	Gene expression	Gene-Level
Stomach	Gene expression	Gene-Level
Stomach_Mixed_Cell	Gene expression	Gene-Level
Stomach_Mucosa	Gene expression	Gene-Level
Stomach_Muscularis	Gene expression	Gene-Level
Testis	Gene expression	Gene-Level
Thyroid	Gene expression	Gene-Level
Uterus	Gene expression	Gene-Level
Vagina	Gene expression	Gene-Level
Whole_Blood	Gene expression	Gene-Level
esm2_mean_log_likelihood_difference	Protein language model-derived	Mutation-Level
esm2_perplexity_difference	Protein language model-derived	Mutation-Level
cosine_similarity	Protein language model-derived	Mutation-Level
average_absolute_difference	Protein language model-derived	Mutation-Level
